Número Activo|Revisado|Fecha revisión título|Título de la propiedad|Subtipo de título|Ratificación|Título de la propiedad entrada|Subtipo de título entrada|Instancia de libertad arrendataria|Situación inicial de inscripción|Situación posesoria inicial|Situación inicial cargas|Situación constructiva registral|Porcentaje de propiedad|Tipo de titularidad|Protección oficial|Autorización para la transmisión|Anotación Concurso|Estado de la gestión|En construcción física|Porcentaje construcción según tasación|En construcción jurídica|Porcentaje construcción según tasación|Certificado de fin de obra|Acta fin de obra/Obra nueva terminada|Licencia primera ocupación|Boletines|Seguro decenal|Cédula de habitabilidad|Fecha contrato|Legislación aplicable|Duración contrato|Tipo arrendamiento|Notificación a arrendatarios|Tipo de expediente |Estado de la gestión|Tipo de incidencia (contingencia registral)|Estado de la gestión|Tipo de ocupación|Tipo de incidencia (Ilocalizadas)|Estado de la gestión|Detalle del deterioro|Tipo de incidencia (Otros)|Estado de la gestión
6986857|SI|29/04/2020|01|01|NA||||PDTE||||||||||||||||||||||||||||||||||
6986903|SI|29/04/2020|01|01|NA||||PDTE||||||||||||||||||||||||||||||||||
6986981|SI|29/04/2020|01|01|NA||||PDTE||||||||||||||||||||||||||||||||||
6986983|SI|29/04/2020|01|01|NA||||PDTE||||||||||||||||||||||||||||||||||
6987079|SI|29/04/2020|01|01|NA||||PDTE||||||||||||||||||||||||||||||||||
6987110|SI|29/04/2020|01|01|NA||||PDTE||||||||||||||||||||||||||||||||||
6987487|SI|29/04/2020|01|01|NA||||PDTE||||||||||||||||||||||||||||||||||
6987654|SI|29/04/2020|01|01|NA||||PDTE||||||||||||||||||||||||||||||||||
6988191|SI|29/04/2020|01|01|NA||||PDTE||||||||||||||||||||||||||||||||||
6988192|SI|29/04/2020|01|01|NA||||PDTE||||||||||||||||||||||||||||||||||
6988195|SI|29/04/2020|01|01|NA||||PDTE||||||||||||||||||||||||||||||||||
6988196|SI|29/04/2020|01|01|NA||||PDTE||||||||||||||||||||||||||||||||||
6988197|SI|29/04/2020|01|01|NA||||PDTE||||||||||||||||||||||||||||||||||
6988362|SI|04/05/2020|01|01|NA||||PDTE||||||||||||||||||||||||||||||||||
6988367|SI|04/05/2020|01|01|NA||||PDTE||||||||||||||||||||||||||||||||||
6988477|SI|04/05/2020|01|01|NA||||PDTE||||||||||||||||||||||||||||||||||
6988496|SI|04/05/2020|01|01|NA||||PDTE||||||||||||||||||||||||||||||||||
6988744|SI|04/05/2020|01|01|NA||||PDTE||||||||||||||||||||||||||||||||||
6988745|SI|04/05/2020|01|01|NA||||PDTE||||||||||||||||||||||||||||||||||
6988746|SI|04/05/2020|01|01|NA||||PDTE||||||||||||||||||||||||||||||||||
6988916|SI|04/05/2020|01|01|NA||||PDTE||||||||||||||||||||||||||||||||||
6782722|SI|01/04/2020|01|01|NA|||NO|PDTE|OBT|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
6782726|SI|01/04/2020|01|01|NA|||NO|PDTE|OBT|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
6782915|SI|02/04/2020|01|01|NA|||NO|PDTE|OBT|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
6787715|SI|02/04/2020|01|01|NA|||NO|PDTE|OBT|PUR|01|100|PLD|01||||02||02|||||||||||||||2|||||||
6787813|SI|02/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
6788080|SI|06/04/2020|01|01|NA|||SI|PDTE|PDTE|PUR|01|100|PLD|01||||02||02|||||||||||||||5|||||||
6788373|SI|06/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR||100|PLD|01||||02||02||||||||||||||||||||||
6788377|SI|06/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|01||||02||02|||||||||||||||9|||||||
6788486|SI|08/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|03||||02||02||||||||||||||||||||||
6788910|SI|08/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
6789196|SI|08/04/2020|01|01|NA|||NO|PDTE|OBT|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
6789379|SI|08/04/2020|01|01|NA|||NO|PDTE|OBT|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
6789437|SI|08/04/2020|01|01|NA|||NO|PDTE|OBT|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
6789464|SI|08/04/2020|01|01|NA|||NO|PDTE|OBT|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
6791287|SI|08/04/2020|01|01|NA|||SI|INS|OBT|AFF|01|||||||02||||||||||||||||||||||||
6791867|SI|13/04/2020|01|01|NA|||NO|PDTE|PDTE|PUR|01|100|PLD|01||||02||02|||||||||||||||5|||||||
6796802|SI|13/04/2020|01|01|NA|||NO|PDTE|ARR|PUR|01|100|PLD|01||||02||02||||||||22/03/2019||1 AÑO|VIV|||||||||||
6797135|SI|14/04/2020|01|01|NA|||SI|PDTE|ARR|PUR|01|100|PLD|01||||02||02||||||||06/04/2018||1 AÑO|VIV|||||||||||
6797148|SI|14/04/2020|01|01|NA|||NO|PDTE|OBT|PUR|01|100|PLD|01||||02||02|||||||||||||||5|||||||
6798270|SI|14/04/2020|01|01|NA|||NO|PDTE|OBT|AJE|01|100|PLD|01||||02||02||||||||||||||||||||||
6798412|SI|14/04/2020|01|01|NA|||NO|PDTE|OBT|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
6800142|SI|14/04/2020|01|01|NA|||NO|PDTE|OBT|PUR|01|100|PLD|01||||02||02||||||||||||||||||||||
