Centro bankia|Nombre Largo|centro espejo CBK|Nombre en CBK
1354|OFICINA ÁGIL 1354|3125|OF. ÁGIL LEGANÉS-AV. FUENLABRADA
1355|OFICINA ÁGIL 1355|3047|OF. ÁGIL ALCORCÓN-MAYOR
1357|OFICINA ÁGIL 1357|1304|OF. ÁGIL MURCIA-GRAN VÍA PRINCIPAL
1358|OFICINA ÁGIL 1358|5691|OF. ÁGIL GRANADA-AVENIDA DE DÍLAR
1359|OFICINA ÁGIL 1359|5942|OF. ÁGIL PALMA-BLANQUERNA
1360|OFICINA ÁGIL 1360|6064|OF. ÁGIL GANDÍA-GERMANÍAS
1497|OFICINA MOVIL-SUCURSAL 1497|2853|OFICINA MOVIL-GRANADA
1498|OFICINA MOVIL-SUCURSAL 1498|5118|OFICINA MOVIL-MADRID
1499|OFICINA MOVIL-SUCURSAL 1499|3446|OFICINA MOVIL-VALENCIA
1501|OFICINA MOVIL-SUCURSAL 1501|629|OFICINA MOVIL-CASTELLON VALENCIA
1502|OFICINA MOVIL-SUCURSAL 1502|1118|OFICINA MOVIL-SOPORTE VALENCIA
1503|OFICINA MOVIL-SUCURSAL 1503|864|OFICINA MOVIL-SOPORTE MADRID I
1504|OFICINA MOVIL-SUCURSAL 1504|3733|OFICINA MOVIL-AVILA II
1505|OFICINA MOVIL-SUCURSAL 1505|3246|OFICINA MOVIL-SOPORTE MADRID II
1506|OFICINA MOVIL-SUCURSAL 1506|1106|OFICINA MOVIL-AVILA II
1507|OFICINA MOVIL-SUCURSAL 1507|1184|OFICINA MOVIL-LA RIOJA I
1508|OFICINA MOVIL-SUCURSAL 1508|3111|OFICINA MOVIL-LA RIOJA II
1509|OFICINA MOVIL-SUCURSAL 1509|4461|OFICINA MOVIL-SEGOVIA I
1510|OFICINA MOVIL-SUCURSAL 1510|4295|OFICINA MOVIL-SEGOVIA II
1511|OFICINA MOVIL-SUCURSAL 1511|3518|OFICINA MOVIL-AVILA SEGOVIA
1512|OFICINA MOVIL-SUCURSAL 1512|2755|OFICINA MOVIL-CIUDAD REAL
1522|CENTRO DE EMPRESAS 1522|5836|CENTRO EMPRESAS MADRID-BASILICA I
1532|CENTRO DE EMPRESAS 1532|4904|CENT. EMP. MADRID-MACELIANO STA MARIA I
1533|OFICINA 1533|3293|OF. MADRID-LOS CORONALES
1537|OFICINA 1537|5699|OF. MADRID-PL. DEL AMANECER
1539|OFICINA 1539|4139|OF. MADRID-GCÍA. TAPIA-FTE. CARRANT
1540|OFICINA 1540|3533|OF. MADRID-TORRE
1543|OFICINA 1543|5743|OF. MADRID-AV. RAFAEL ALBERTI
1560|CENTRO DE EMPRESAS 1560|6098|CENT. EMP. MADRID-MACELIANO STA MARIA II
1566|OFICINA 1566|6352|OF. MADRID-ALFREDO ALEIX
1612|OFICINA 1612|8341|OF. MADRID-LUCHANA
1615|OFICINA 1615|8342|OF. MADRID-MONTECARMELO
1616|OFICINA 1616|8343|OF. MADRID-MINERVA-VICÁLVARO
1619|OFICINA 1619|2692|OF. MADRID-LAS TABLAS
1623|OFICINA 1623|4828|OF. MADRID-AV. DE LA PESETA
1697|OFICINA 1697|3430|OF. MADRID-AV. ENSANCHE DE VALLECAS
1702|OFICINA 1702|931|OF. MADRID-Gº NOBLEJAS-LARGO CABALL
1703|OFICINA 1703|921|OF. MADRID-ALCALÁ-MARQUÉS DE CUBAS
1704|OFICINA 1704|979|OF. MADRID-DEVA
1709|OFICINA ÁGIL 1709|4434|OF. ÁGIL MADRID-AV. ABRANTES-SANTA
1716|OFICINA 1716|7958|OF. MADRID-AV. DE HELLÍN
1720|OFICINA ÁGIL 1720|694|OF. ÁGIL MADRID-OCA
1725|OFICINA ÁGIL 1725|1870|OF. ÁGIL MADRID-MARTÍNEZ RIVA-EL OL
1727|OFICINA ÁGIL 1727|3704|OF. ÁGIL MADRID-CAVA BAJA
1728|OFICINA 1728|3114|OF. MADRID-ORTEGA Y GASSET-C. PEÑAL
1729|OFICINA 1729|1099|OF. MADRID-BOHEMIOS
1734|OFICINA 1734|8339|OF. MADRID-VITALAZA
1737|OFICINA 1737|8340|OF. MADRID-HUERTA CASTAÑEDA
1739|OFICINA 1739|1117|OF. MADRID-DIEGO DE LEON
1741|OFICINA ÁGIL 1741|3396|OF. ÁGIL MADRID-ALMENDRALES
1742|OFICINA 1742|3156|OF. MADRID-PLAZA CASTILLA
1743|OFICINA 1743|1126|OF. MADRID-CAÑADA
1744|OFICINA 1744|3279|OF. MADRID-BOLTAÑA
1745|OFICINA 1745|3630|OF. MADRID-BRAVO MURILLO-VIRIATO
1747|OFICINA 1747|6389|OF. MADRID-LEGAZPI
1750|OFICINA 1750|6095|OF. MADRID-GINZO DE LIMIA
1751|OFICINA 1751|4246|OF. MADRID-PEDROÑERAS
1752|OFICINA 1752|3720|OF. MADRID-CANAL DEL BÓSFORO
1753|OFICINA 1753|1180|OF. MADRID-AV. ALBUFERA-ALTO ARENAL
