DD_LOC_ID|MUNICIPIO BBVA
7838|ALMOLDA, LA
7839|ALMONACID DE LA CUBA
7840|ALMONACID DE LA SIERRA
6773|ALMONACID DE TOLEDO
2858|ALMONACID DE ZORITA
2229|ALMONACID DEL MARQUESADO
3218|ALMONASTER LA REAL
3219|ALMONTE
153|ALMORADI
6774|ALMOROX
6354|ALMOSTER
154|ALMUDAINA
3313|ALMUDEVAR
7841|ALMUNIA DE DOÑA GODINA, LA
3314|ALMUNIA DE SAN JUAN
3315|ALMUNIENTE
2685|ALMUÑECAR
1956|ALMURADIEL
7000|ALMUSSAFES
6546|ALOBRAS
2859|ALOCEN
7460|ALONSOTEGI
4466|ALORA
3825|ALÒS DE BALAGUER
3220|ALOSNO
2860|ALOVERA
4467|ALOZAINA
2454|ALP
4468|ALPANDEIRE
6180|ALPANSEQUE
7842|ALPARTIR
4285|ALPEDRETE
865|ALPENS
6547|ALPEÑES
61|ALPERA
3826|ALPICAT
7001|ALPUENTE
2686|ALPUJARRA DE LA SIERRA
155|ALQUERIA D'ASNAR, L'
7002|ALQUERIA DE LA COMTESSA, L'
1816|ALQUERIAS DEL NIÑO PERDIDO
3316|ALQUEZAR
2687|ALQUIFE
294|ALSODUX
3827|ALT ÀNEU
1181|ALTABLE
6355|ALTAFULLA
2230|ALTAREJOS
156|ALTEA
3317|ALTORRICON
1182|ALTOS, LOS
4611|ALTSASU/ALSASUA
1817|ALTURA
3134|ALTZAGA
3135|ALTZO
2861|ALUSTANTE
7003|ALZIRA
388|AMAVIDA
5047|AMAYUELAS DE ARRIBA
7843|AMBEL
4286|AMBITE
2455|AMER
2119|AMES
4612|AMESCOA BAJA
6356|AMETLLA DE MAR, L'
866|AMETLLA DEL VALLÈS, L'
1183|AMEYUGO
3136|AMEZKETA
4966|AMIEVA
4873|AMOEIRO
7461|AMOREBIETA-ETXANO
7462|AMOROTO
6357|AMPOLLA, L'
6358|AMPOSTA
5048|AMPUDIA
5745|AMPUERO
2|AMURRIO
5049|AMUSCO
7240|AMUSQUILLO
6548|ANADON
5861|ANAYA
5357|ANAYA DE ALBA
4287|ANCHUELO
1957|ANCHURAS
4613|ANCIN/ANTZIN
7576|ANDAVIAS
7004|ANDILLA
3137|ANDOAIN
6549|ANDORRA
4614|ANDOSILLA
798|ANDRATX
3500|ANDUJAR
7844|ANENTO
2456|ANGLÈS
3828|ANGLESOLA
2862|ANGON
4047|ANGUCIANA
3318|ANGÜES
4048|ANGUIANO
2863|ANGUITA
1184|ANGUIX
5746|ANIEVAS
7845|ANIÑON
7005|ANNA
3138|ANOETA
2864|ANQUELA DEL DUCADO
2865|ANQUELA DEL PEDREGAL
3319|ANSO
4615|ANSOAIN/ANTSOAIN
295|ANTAS
4211|ANTAS DE ULLA
7006|ANTELLA
4469|ANTEQUERA
5236|ANTIGUA
3597|ANTIGUA, LA
5050|ANTIGÜEDAD
3320|ANTILLON
3139|ANTZUOLA
4616|ANUE
3|AÑANA
5862|AÑE
7846|AÑON DE MONCAYO
2048|AÑORA
4617|AÑORBE
6775|AÑOVER DE TAJO
5358|AÑOVER DE TORMES
4618|AOIZ/AGOITZ
5359|ARABAYONA DE MOGICA
3221|ARACENA
5694|ARAFO
3321|ARAGÜES DEL PUERTO
6065|ARAHAL
5863|ARAHUETES
4619|ARAITZ
7463|ARAKALDO
4620|ARAKIL
3140|ARAMA
4|ARAMAIO
4621|ARANARACHE
6181|ARANCON
1185|ARANDA DE DUERO
7847|ARANDA DE MONCAYO
7848|ARANDIGA
1186|ARANDILLA
2231|ARANDILLA DEL ARROYO
2120|ARANGA
4622|ARANGUREN
4288|ARANJUEZ
4623|ARANO
4624|ARANTZA
7464|ARANTZAZU
2866|ARANZUEQUE
1818|ARAÑUEL
5360|ARAPILES
4625|ARAS
7007|ARAS DE LOS OLMOS
1187|ARAUZO DE MIEL
1188|ARAUZO DE SALCE
1189|ARAUZO DE TORRE
2867|ARBANCON
3829|ARBECA
2868|ARBETETA
4626|ARBIZU
5268|ARBO
6359|ARBOÇ, L'
296|ARBOLEAS
6360|ARBOLI
2457|ARBUCIES
2232|ARCAS DEL VILLAR
4627|ARCE/ARTZI
5361|ARCEDIANO
7577|ARCENILLAS
4564|ARCHENA
4470|ARCHEZ
4471|ARCHIDONA
6776|ARCICOLLAR
5362|ARCO, EL
5051|ARCONADA
5864|ARCONES
1190|ARCOS
4628|ARCOS, LOS
6182|ARCOS DE JALON
1767|ARCOS DE LA FRONTERA
7578|ARCOS DE LA POLVOROSA
2233|ARCOS DE LA SIERRA
6550|ARCOS DE LAS SALINAS
4472|ARDALES
7849|ARDISA
3598|ARDON
7465|AREATZA
4629|ARELLANO
3322|AREN
389|ARENAL, EL
1958|ARENALES DE SAN GREGORIO
4473|ARENAS
5747|ARENAS DE IGUÑA
1959|ARENAS DE SAN JUAN
390|ARENAS DE SAN PEDRO
2688|ARENAS DEL REY
6183|ARENILLAS
1191|ARENILLAS DE RIOPISUERGA
6551|ARENS DE LLEDO
867|ARENYS DE MAR
868|ARENYS DE MUNT
4049|ARENZANA DE ABAJO
4050|ARENZANA DE ARRIBA
2121|ARES
1819|ARES DEL MAESTRAT
4630|ARESO
3141|ARETXABALETA
391|AREVALILLO
5865|AREVALILLO DE CEGA
392|AREVALO
6184|AREVALO DE LA SIERRA
1960|ARGAMASILLA DE ALBA
1961|ARGAMASILLA DE CALATRAVA
4289|ARGANDA DEL REY
3599|ARGANZA
7579|ARGAÑIN
3323|ARGAVIESO
2869|ARGECILLA
2458|ARGELAGUER
1820|ARGELITA
869|ARGENÇOLA
6552|ARGENTE
6361|ARGENTERA, L'
870|ARGENTONA
6777|ARGES
5748|ARGOÑOS
4631|ARGUEDAS
3324|ARGUIS
2234|ARGUISUELAS
7580|ARGUJILLO
4632|ARIA
799|ARIANY
4633|ARIBE
5695|ARICO
1192|ARIJA
6553|ARIÑO
7850|ARIZA
3501|ARJONA
3502|ARJONILLA
1193|ARLANZON
2870|ARMALLONES
4634|ARMAÑANZAS
2459|ARMENTERA, L'
5363|ARMENTEROS
2689|ARMILLA
5|ARMIÑON
5866|ARMUÑA
297|ARMUÑA DE ALMANZORA
2871|ARMUÑA DE TAJUÑA
4051|ARNEDILLO
4052|ARNEDO
6362|ARNES
4874|ARNOIA, A
5749|ARNUERO
3222|AROCHE
5696|ARONA
7581|ARQUILLINOS
3503|ARQUILLOS
7582|ARRABALDE
6|ARRAIA-MAEZTU
2235|ARRANCACEPAS
7466|ARRANKUDIAGA
3142|ARRASATE/MONDRAGON
7467|ARRATZU
1194|ARRAYA DE OCA
7|ARRAZUA-UBARRUNDIA
5237|ARRECIFE
5750|ARREDONDO
3830|ARRES
4474|ARRIATE
7468|ARRIETA
7469|ARRIGORRIAGA
1962|ARROBA DE LOS MONTES
4635|ARRONIZ
7241|ARROYO DE LA ENCOMIENDA
1563|ARROYO DE LA LUZ
2872|ARROYO DE LAS FRAGUAS
641|ARROYO DE SAN SERVAN
3504|ARROYO DEL OJANCO
1564|ARROYOMOLINOS (CACERES)
4290|ARROYOMOLINOS (MADRID)
1565|ARROYOMOLINOS DE LA VERA
3223|ARROYOMOLINOS DE LEON
4636|ARRUAZU
4053|ARRUBAL
3831|ARSÈGUEL
800|ARTÀ
4637|ARTAJONA
1821|ARTANA
4638|ARTAZU
7470|ARTEA
2122|ARTEIXO
5238|ARTENARA
871|ARTES
3832|ARTESA DE LLEIDA
3833|ARTESA DE SEGRE
7851|ARTIEDA
7471|ARTZENTALES
8|ARTZINIEGA
5239|ARUCAS
2123|ARZUA
6363|ASCO
7852|ASIN
3834|ASPA
7583|ASPARIEGOS
9|ASPARRENA
157|ASPE
3143|ASTEASU
3144|ASTIGARRAGA
5751|ASTILLERO, EL
3600|ASTORGA
5052|ASTUDILLO
7584|ASTURIANOS
4475|ATAJATE
642|ATALAYA
5364|ATALAYA, LA
2236|ATALAYA DEL CAÑAVATE
2873|ATANZON
1195|ATAPUERCA
7242|ATAQUINES
2690|ATARFE
3145|ATAUN
4291|ATAZAR, EL
7853|ATEA
7854|ATECA
4639|ATEZ
2874|ATIENZA
7472|ATXONDO
7008|ATZENETA D'ALBAIDA
1822|ATZENETA DEL MAESTRAT
7473|AULESTI
2875|AUÑON
4640|AURITZ/BURGUETE
4054|AUSEJO
6185|AUSEJO DE LA SIERRA
1196|AUSINES, LOS
5053|AUTILLA DEL PINO
5054|AUTILLO DE CAMPOS
4055|AUTOL
393|AVEINTE
394|AVELLANEDA
3835|AVELLANES I SANTA LINYA, LES
1197|AVELLANOSA DE MUÑO
872|AVIÀ
395|AVILA
4967|AVILES
873|AVINYO
2460|AVINYONET DE PUIGVENTOS
874|AVINYONET DEL PENEDÈS
4875|AVION
10|AYALA/AIARA
3224|AYAMONTE
4641|AYEGUI/AIEGI
3325|AYERBE
5867|AYLLON
62|AYNA
1823|AYODAR
7585|AYOO DE VIDRIALES
7009|AYORA
5055|AYUELA
4642|AZAGRA
6554|AZAILA
3326|AZANUY-ALINS
3327|AZARA
3146|AZKOITIA
3328|AZLOR
6066|AZNALCAZAR
6067|AZNALCOLLAR
4056|AZOFRA
3147|AZPEITIA
643|AZUAGA
7855|AZUARA
1824|AZUEBAR
4643|AZUELO
2876|AZUQUECA DE HENARES
6778|AZUTAN
5365|BABILAFUENTE
298|BACARES
644|BADAJOZ
875|BADALONA
4057|BADARAN
6555|BADENAS
876|BADIA DEL VALLÈS
6068|BADOLATOSA
7856|BADULES
3329|BAELLS
2049|BAENA
3505|BAEZA
877|BAGÀ
6556|BAGUENA
7857|BAGÜES
7243|BAHABON
1198|BAHABON DE ESGUEVA
2877|BAIDES
3506|BAILEN
3330|BAILO
5269|BAIONA
3836|BAIX PALLARS
4644|BAKAIKU
7474|BAKIO
3837|BALAGUER
8162|BALANEGRA
63|BALAZOTE
1199|BALBASES, LOS
3601|BALBOA
7858|BALCONCHAN
3331|BALDELLOU
4212|BALEIRA
878|BALENYÀ
3148|BALIARRAIN
64|BALLESTERO, EL
1963|BALLESTEROS DE CALATRAVA
3332|BALLOBAR
7475|BALMASEDA
158|BALONES
65|BALSA DE VES
879|BALSARENY
5056|BALTANAS
4876|BALTAR
3333|BANASTAS
4877|BANDE
801|BANYALBUFAR
159|BANYERES DE MARIOLA
6364|BANYERES DEL PENEDÈS
2461|BANYOLES
2124|BAÑA, A
4058|BAÑARES
3602|BAÑEZA, LA
5366|BAÑOBAREZ
6557|BAÑON
11|BAÑOS DE EBRO/MAÑUETA
3507|BAÑOS DE LA ENCINA
4878|BAÑOS DE MOLGAS
1566|BAÑOS DE MONTEMAYOR
4059|BAÑOS DE RIO TOBIA
4060|BAÑOS DE RIOJA
2878|BAÑOS DE TAJO
1200|BAÑOS DE VALDEARADOS
2879|BAÑUELOS
1201|BAÑUELOS DE BUREBA
5057|BAQUERIN DE CAMPOS
2237|BARAJAS DE MELO
7476|BARAKALDO
4213|BARALLA
4645|BARAÑAIN
6186|BARAONA
4646|BARASOAIN
4879|BARBADAS
5367|BARBADILLO
1202|BARBADILLO DE HERREROS
1203|BARBADILLO DEL MERCADO
1204|BARBADILLO DEL PEZ
5368|BARBALOS
4647|BARBARIN
3334|BARBASTRO
1768|BARBATE
3838|BARBENS
6365|BARBERÀ DE LA CONCA
880|BARBERÀ DEL VALLÈS
7859|BARBOLES
5868|BARBOLLA
3335|BARBUES
3336|BARBUÑALES
6187|BARCA
3337|BARCABO
645|BARCARROTA
881|BARCELONA
5058|BARCENA DE CAMPOS
5752|BARCENA DE CICERO
5753|BARCENA DE PIE DE CONCHA
5369|BARCEO
2238|BARCHIN DEL HOYO
7244|BARCIAL DE LA LOMA
7586|BARCIAL DEL BARCO
6779|BARCIENCE
396|BARCO DE AVILA, EL
4880|BARCO DE VALDEORRAS, O
6188|BARCONES
7860|BARDALLUR
5754|BAREYO
6780|BARGAS
4648|BARGOTA
4649|BARILLAS
3603|BARJAS
5697|BARLOVENTO
3839|BARONIA DE RIALB, LA
1825|BARRACAS
6558|BARRACHINA
397|BARRACO, EL
1567|BARRADO
66|BARRAX
4214|BARREIROS
7477|BARRIKA
1205|BARRIO DE MUÑO
2880|BARRIOPEDRO
1769|BARRIOS, LOS
1206|BARRIOS DE BUREBA, LOS
1207|BARRIOS DE COLINA
3604|BARRIOS DE LUNA, LOS
5270|BARRO
398|BARROMAN
5370|BARRUECOPARDO
5059|BARRUELO DE SANTULLAN
7245|BARRUELO DEL VALLE
12|BARRUNDIA
7010|BARX
7011|BARXETA
4650|BASABURUA
5869|BASARDILLA
7478|BASAURI
2462|BÀSCARA
1208|BASCONCILLOS DEL TOZO
5060|BASCONES DE OJEDA
1209|BASCUÑANA
2239|BASCUÑANA DE SAN PEDRO
3840|BASSELLA
5371|BASTIDA, LA
6366|BATEA
646|BATERNO
4292|BATRES
3841|BAUSEN
299|BAYARCAL
300|BAYARQUE
6189|BAYUBAS DE ABAJO
6190|BAYUBAS DE ARRIBA
2691|BAZA
4651|BAZTAN
6559|BEA
4881|BEADE
2240|BEAMUD
4882|BEARIZ
3225|BEAS
2692|BEAS DE GRANADA
2693|BEAS DE GUADIX
3508|BEAS DE SEGURA
3149|BEASAIN
399|BECEDAS
400|BECEDILLAS
6560|BECEITE
4215|BECERREA
5061|BECERRIL DE CAMPOS
4293|BECERRIL DE LA SIERRA
7246|BECILLA DE VALDERADUEY
301|BEDAR
7479|BEDIA
3509|BEDMAR Y GARCIEZ
3510|BEGIJAR
4216|BEGONTE
882|BEGUES
2463|BEGUR
4652|BEINTZA-LABAIEN
4653|BEIRE
302|BEIRES
3150|BEIZAMA
5372|BEJAR
1826|BEJIS
2050|BELALCAZAR
4654|BELASCOAIN
3151|BELAUNTZA
1210|BELBIMBRE
7861|BELCHITE
5373|BELEÑA
7012|BÈLGIDA
3842|BELIANES
2241|BELINCHON
3843|BELLAGUARDA
2464|BELLCAIRE D'EMPORDÀ
3844|BELLCAIRE D'URGELL
3845|BELL-LLOC D'URGELL
6367|BELLMUNT DEL PRIORAT
3846|BELLMUNT D'URGELL
6561|BELLO
883|BELLPRAT
3847|BELLPUIG
7013|BELLREGUARD
7014|BELLUS
6368|BELLVEI
3848|BELLVER DE CERDANYA
3849|BELLVIS
2051|BELMEZ
3511|BELMEZ DE LA MORALEDA
2242|BELMONTE
5062|BELMONTE DE CAMPOS
7862|BELMONTE DE GRACIAN
4968|BELMONTE DE MIRANDA
6562|BELMONTE DE SAN JOSE
4294|BELMONTE DE TAJO
2243|BELMONTEJO
1211|BELORADO
3338|BELVER DE CINCA
7587|BELVER DE LOS MONTES
6781|BELVIS DE LA JARA
1568|BELVIS DE MONROY
