    ASU_ID;ASU_NOMBRE                                                                                                                                            ;ESTADO    ;CONTRATO                                          ;CONTRATO_ANTERIOR                                 ;SUBCARTERA                                        ;CARTERA                                                                                                                                                                                                                                                   ;CEDENTE                                                                                                                                                                                                                                                   ;DD_TAS_DESCRIPCION                                                                                                                                    ;    PRC_ID;DD_TPO_DESCRIPCION                                                                                                                                    ;FECHA_ENVIO                             ;FECHA_PRESENTACION                      ;FECHA_RESULTADO                         ;RESULTADO                               ;MOTIVO_REQUERIMIENTO                                                                                ;DENEGACION                              ;FECHA_SOLUCION                          ;NUM_AUTOS                                         ;PLAZA                                                                                                                                                 ;JUZGADO                                                                                                                                                                                                                                                                                                               
      1006;1006 | B18672378 INVERSIONES GRANADINAS D.M.,SL                                                                                                       ;Aceptado  ;9320011403019                                     ;                                                  ;Gescobro                                          ;EGEO                                                                                                                                                                                                                                                      ;Caixabank                                                                                                                                                                                                                                                 ;Litigio                                                                                                                                               ;          ;                                                                                                                                                      ;                                        ;                                        ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;                                                  ;                                                                                                                                                      ;                                                                                                                                                                                                                                                                                                                      
      1007;1007 | B21366562 EQUIALMONTE SLL                                                                                                                      ;Aceptado  ;9320011004345                                     ;                                                  ;Promontoria                                       ;EGEO                                                                                                                                                                                                                                                      ;Caixabank                                                                                                                                                                                                                                                 ;Litigio                                                                                                                                               ;          ;                                                                                                                                                      ;                                        ;                                        ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;                                                  ;                                                                                                                                                      ;                                                                                                                                                                                                                                                                                                                      
      1008;1008 | B28946127 TRANSPORTES FUENLABRADA SL                                                                                                           ;Aceptado  ;9620311529272                                     ;                                                  ;Promontoria                                       ;EGEO                                                                                                                                                                                                                                                      ;Caixabank                                                                                                                                                                                                                                                 ;Litigio                                                                                                                                               ;          ;                                                                                                                                                      ;                                        ;                                        ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;                                                  ;                                                                                                                                                      ;                                                                                                                                                                                                                                                                                                                      
      1009;1009 | B30507545 EGO MUEBLES TAPIZADOS, S.L.                                                                                                          ;Aceptado  ;9320011233013                                     ;                                                  ;Gescobro                                          ;EGEO                                                                                                                                                                                                                                                      ;Caixabank                                                                                                                                                                                                                                                 ;Litigio                                                                                                                                               ;          ;                                                                                                                                                      ;                                        ;                                        ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;                                                  ;                                                                                                                                                      ;                                                                                                                                                                                                                                                                                                                      
      1010;1010 | B43805019 ESPAIS AJARDINATS, S.L.                                                                                                              ;Aceptado  ;9620307182405                                     ;                                                  ;Promontoria                                       ;EGEO                                                                                                                                                                                                                                                      ;Caixabank                                                                                                                                                                                                                                                 ;Litigio                                                                                                                                               ;      4949;T. de sucesión procesal                                                                                                                               ;                                        ;                                        ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;                                                  ;                                                                                                                                                      ;                                                                                                                                                                                                                                                                                                                      
      1011;1011 | B73351132 PROMOCIONES LUZ DE AGUILAS S.L.                                                                                                      ;Aceptado  ;9620297319733                                     ;                                                  ;Gescobro                                          ;EGEO                                                                                                                                                                                                                                                      ;Caixabank                                                                                                                                                                                                                                                 ;Litigio                                                                                                                                               ;          ;                                                                                                                                                      ;                                        ;                                        ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;                                                  ;                                                                                                                                                      ;                                                                                                                                                                                                                                                                                                                      
      1012;1012 | B84772458 THE THEODOR S FARM S.L.                                                                                                              ;Aceptado  ;9320011370340                                     ;                                                  ;Promontoria                                       ;EGEO                                                                                                                                                                                                                                                      ;Caixabank                                                                                                                                                                                                                                                 ;Litigio                                                                                                                                               ;          ;                                                                                                                                                      ;                                        ;                                        ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;                                                  ;                                                                                                                                                      ;                                                                                                                                                                                                                                                                                                                      
      1013;1013 | B41737586 PRODUCTOS QUIMICOS DE CONSTANTINA                                                                                                    ;Aceptado  ;9620293421281                                     ;                                                  ;Promontoria                                       ;EGEO                                                                                                                                                                                                                                                      ;Caixabank                                                                                                                                                                                                                                                 ;Litigio                                                                                                                                               ;          ;                                                                                                                                                      ;                                        ;                                        ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;                                                  ;                                                                                                                                                      ;                                                                                                                                                                                                                                                                                                                      
      1014;1014 | B43567213 BI BI DORADA, S.L.                                                                                                                   ;Aceptado  ;9620306724211                                     ;                                                  ;Promontoria                                       ;EGEO                                                                                                                                                                                                                                                      ;Caixabank                                                                                                                                                                                                                                                 ;Litigio                                                                                                                                               ;      4946;T. de sucesión procesal                                                                                                                               ;                                        ;                                        ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;                                                  ;                                                                                                                                                      ;                                                                                                                                                                                                                                                                                                                      
      1015;1015 | B35477041 FERRALLA FUERTEVENTURA S.L.                                                                                                          ;Aceptado  ;9620299595946                                     ;                                                  ;Promontoria                                       ;EGEO                                                                                                                                                                                                                                                      ;Caixabank                                                                                                                                                                                                                                                 ;Litigio                                                                                                                                               ;          ;                                                                                                                                                      ;                                        ;                                        ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;                                                  ;                                                                                                                                                      ;                                                                                                                                                                                                                                                                                                                      
      1016;1016 | B38781621 TENERIFE DE ELECTRODOMESTICOS, S.                                                                                                    ;Aceptado  ;9620295616336                                     ;                                                  ;Promontoria                                       ;EGEO                                                                                                                                                                                                                                                      ;Caixabank                                                                                                                                                                                                                                                 ;Litigio                                                                                                                                               ;          ;                                                                                                                                                      ;                                        ;                                        ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;                                                  ;                                                                                                                                                      ;                                                                                                                                                                                                                                                                                                                      
      1017;1017 | B41890013 AUTOMOVILES BADIA Y RODRIGUEZ S.L                                                                                                    ;Aceptado  ;9620294419161                                     ;                                                  ;Gescobro                                          ;EGEO                                                                                                                                                                                                                                                      ;Caixabank                                                                                                                                                                                                                                                 ;Litigio                                                                                                                                               ;          ;                                                                                                                                                      ;                                        ;                                        ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;                                                  ;                                                                                                                                                      ;                                                                                                                                                                                                                                                                                                                      
      1018;1018 | B92072529 NIDUBAS, S.L.                                                                                                                        ;Aceptado  ;9320010744169                                     ;                                                  ;Gescobro                                          ;EGEO                                                                                                                                                                                                                                                      ;Caixabank                                                                                                                                                                                                                                                 ;Litigio                                                                                                                                               ;          ;                                                                                                                                                      ;                                        ;                                        ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;                                                  ;                                                                                                                                                      ;                                                                                                                                                                                                                                                                                                                      
      1019;1019 | B11557923 CERRAJERIA TERRABUXENA, S.L.                                                                                                         ;Aceptado  ;9620293407250                                     ;                                                  ;Promontoria                                       ;EGEO                                                                                                                                                                                                                                                      ;Caixabank                                                                                                                                                                                                                                                 ;Litigio                                                                                                                                               ;          ;                                                                                                                                                      ;                                        ;                                        ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;                                                  ;                                                                                                                                                      ;                                                                                                                                                                                                                                                                                                                      
      1020;1020 | B21225339 BOTALON RENTA CART S.L.                                                                                                              ;Aceptado  ;9620294327690                                     ;                                                  ;Promontoria                                       ;EGEO                                                                                                                                                                                                                                                      ;Caixabank                                                                                                                                                                                                                                                 ;Litigio                                                                                                                                               ;          ;                                                                                                                                                      ;                                        ;                                        ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;                                                  ;                                                                                                                                                      ;                                                                                                                                                                                                                                                                                                                      
      1021;1021 | A50983873 OVERSTREET CENTER 21 SA.                                                                                                             ;Aceptado  ;9320011501569                                     ;                                                  ;Gescobro                                          ;EGEO                                                                                                                                                                                                                                                      ;Caixabank                                                                                                                                                                                                                                                 ;Litigio                                                                                                                                               ;          ;                                                                                                                                                      ;                                        ;                                        ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;                                                  ;                                                                                                                                                      ;                                                                                                                                                                                                                                                                                                                      
      1022;1022 | B21411202 PAPELERIA TECNICAÂ­COPYSTERIA COP                                                                                                    ;Aceptado  ;9620294348747                                     ;                                                  ;Promontoria                                       ;EGEO                                                                                                                                                                                                                                                      ;Caixabank                                                                                                                                                                                                                                                 ;Litigio                                                                                                                                               ;          ;                                                                                                                                                      ;                                        ;                                        ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;                                                  ;                                                                                                                                                      ;                                                                                                                                                                                                                                                                                                                      
      1023;1023 | B50994003 PROINM J. J. E SL.                                                                                                                   ;Aceptado  ;9620292484011                                     ;                                                  ;Gescobro                                          ;EGEO                                                                                                                                                                                                                                                      ;Caixabank                                                                                                                                                                                                                                                 ;Litigio                                                                                                                                               ;          ;                                                                                                                                                      ;                                        ;                                        ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;                                                  ;                                                                                                                                                      ;                                                                                                                                                                                                                                                                                                                      
      1024;1024 | B73353609 CONGELADOS ALCAZAMAR S.L.L.                                                                                                          ;Aceptado  ;9620307036437                                     ;                                                  ;Gescobro                                          ;EGEO                                                                                                                                                                                                                                                      ;Caixabank                                                                                                                                                                                                                                                 ;Litigio                                                                                                                                               ;          ;                                                                                                                                                      ;                                        ;                                        ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;                                                  ;                                                                                                                                                      ;                                                                                                                                                                                                                                                                                                                      
      1025;1025 | B91518092 LOFERCAM NUEVAS CONSTRUCCIONES Y                                                                                                     ;Aceptado  ;9620294330056                                     ;                                                  ;Promontoria                                       ;EGEO                                                                                                                                                                                                                                                      ;Caixabank                                                                                                                                                                                                                                                 ;Litigio                                                                                                                                               ;          ;                                                                                                                                                      ;                                        ;                                        ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;                                                  ;                                                                                                                                                      ;                                                                                                                                                                                                                                                                                                                      
      1026;1026 | B14117717 COOCELU S.L.                                                                                                                         ;Aceptado  ;9320011143477                                     ;                                                  ;Gescobro                                          ;EGEO                                                                                                                                                                                                                                                      ;Caixabank                                                                                                                                                                                                                                                 ;Litigio                                                                                                                                               ;          ;                                                                                                                                                      ;                                        ;                                        ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;                                                  ;                                                                                                                                                      ;                                                                                                                                                                                                                                                                                                                      
      1027;1027 | B58897760 EDIFICACIONES ORELLANA GUILLEN, S                                                                                                    ;Aceptado  ;9620290094378                                     ;                                                  ;Gescobro                                          ;EGEO                                                                                                                                                                                                                                                      ;Caixabank                                                                                                                                                                                                                                                 ;Litigio                                                                                                                                               ;          ;                                                                                                                                                      ;                                        ;                                        ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;                                                  ;                                                                                                                                                      ;                                                                                                                                                                                                                                                                                                                      
      1028;1028 | B84395524 AST SOLOD PROPERTY S.L                                                                                                               ;Aceptado  ;9320011095811                                     ;                                                  ;Gescobro                                          ;EGEO                                                                                                                                                                                                                                                      ;Caixabank                                                                                                                                                                                                                                                 ;Litigio                                                                                                                                               ;          ;                                                                                                                                                      ;                                        ;                                        ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;                                                  ;                                                                                                                                                      ;                                                                                                                                                                                                                                                                                                                      
