NUM_ACTIVO_HAYA|NUM_OFERTA_REM|FECHA_INGRE_CHEQUE_REM|PRINEX_FECHA_CONTABLE_VENTA
6076143|70827533||13/11/2017
6076147|56846311||23/09/2016
6076150|62506721||13/03/2017
6076200|60605290||14/03/2017
6076201|62399141||09/05/2017
6076202|66019828||21/06/2017
6076204|60605435||14/02/2017
6076205|62398842||09/05/2017
6076206|60605066||14/03/2017
6076207|69953358||14/09/2017
6076211|59122102||25/01/2017
6076212|59939951||27/01/2017
6076216|65017120||26/07/2017
6076226|60028563||19/12/2016
6076233|64145304||23/06/2017
6076241|65305713||16/05/2017
6076244|57409544||26/09/2016
6076245|63927366||19/04/2017
6076248|66471261||26/06/2017
6076249|56271932||28/09/2016
6076250|57409544||26/09/2016
6076251|63927366||19/04/2017
6076253|61089248||20/01/2017
6076261|61997347||13/03/2017
6076264|66110536||18/09/2017
6076267|66099527||20/06/2017
6076271|64974588||08/06/2017
6076274|52163608||11/02/2016
6076283|52163608||11/02/2016
6076293|57327408||21/12/2016
6076294|57327408||21/12/2016
6076301|71618252||14/12/2017
6076303|62971562||18/04/2017
6076328|69738044||26/09/2017
6076331|69250056||18/09/2017
6076332|69662039||24/08/2017
6076336|71338128||10/11/2017
6076337|71330201||10/11/2017
6076338|67640321||16/10/2017
6076339|65788744||08/08/2017
