ID_ASUNTO_RCV|TIPO_ASUNTO|NUMERO_ACTIVO
6000000000000022|Concursal|7317955
6000000000000022|Concursal|7317920
6000000000000022|Concursal|7317949
6000000000000022|Concursal|7317941
6000000000000023|Concursal|7452190
6000000000000024|Litigio|7447322
6000000000000024|Litigio|7450499
6000000000000024|Litigio|7453840
6000000000000024|Litigio|7452630
6000000000000025|Litigio|7326790
6000000000000026|Litigio|7318309
6000000000000027|Litigio|7421607
6000000000000028|Litigio|7316382
6000000000000029|Litigio|7419632
6000000000000030|Litigio|7319776
6000000000000030|Litigio|7319775
6000000000000031|Litigio|7454893
6000000000000032|Litigio|7319888
6000000000000032|Litigio|7319887
6000000000000033|Litigio|7453635
6000000000000034|Litigio|7419783
6000000000000034|Litigio|7419824
6000000000000035|Litigio|7316769
6000000000000036|Litigio|7449840
6000000000000037|Litigio|7419885
6000000000000038|Litigio|7316202
6000000000000039|Litigio|7419941
6000000000000040|Litigio|7453955
6000000000000041|Concursal|7421154
6000000000000042|Litigio|7454573
6000000000000043|Litigio|7450182
6000000000000043|Litigio|7452300
6000000000000043|Litigio|7449488
6000000000000043|Litigio|7454149
6000000000000043|Litigio|7453589
6000000000000043|Litigio|7453165
6000000000000043|Litigio|7450867
6000000000000043|Litigio|7454819
6000000000000043|Litigio|7450255
6000000000000043|Litigio|7453907
6000000000000043|Litigio|7451284
6000000000000043|Litigio|7449643
6000000000000043|Litigio|7452527
6000000000000043|Litigio|7452571
6000000000000043|Litigio|7447377
6000000000000043|Litigio|7448055
6000000000000043|Litigio|7453543
6000000000000043|Litigio|7455284
6000000000000043|Litigio|7447447
6000000000000043|Litigio|7452371
6000000000000043|Litigio|7454374
6000000000000043|Litigio|7455300
6000000000000043|Litigio|7455055
6000000000000043|Litigio|7450527
6000000000000044|Litigio|7420058
6000000000000044|Litigio|7420069
6000000000000045|Litigio|7420395
6000000000000046|Litigio|7449441
6000000000000047|Litigio|7319020
6000000000000048|Litigio|7385614
6000000000000049|Litigio|7320080
6000000000000050|Litigio|7456122
6000000000000051|Litigio|7315993
6000000000000052|Litigio|7357945
6000000000000053|Litigio|7319920
6000000000000054|Litigio|7318033
6000000000000055|Litigio|7314316
6000000000000056|Litigio|7448545
6000000000000057|Litigio|7319777
6000000000000057|Litigio|7319465
6000000000000058|Litigio|7453778
6000000000000059|Concursal|7360466
6000000000000060|Litigio|7369358
6000000000000061|Litigio|7319751
6000000000000062|Litigio|7374475
6000000000000063|Concursal|7419668
6000000000000064|Litigio|7454343
6000000000000065|Litigio|7432435
6000000000000066|Litigio|7316762
6000000000000067|Litigio|7421163
6000000000000068|Litigio|7450788
6000000000000069|Litigio|7319541
6000000000000070|Litigio|7451018
6000000000000070|Litigio|7451315
6000000000000070|Litigio|7447924
6000000000000070|Litigio|7419580
6000000000000071|Litigio|7314223
6000000000000072|Litigio|7319022
6000000000000073|Litigio|7447932
6000000000000074|Litigio|7318303
6000000000000075|Litigio|7420317
6000000000000076|Litigio|7419732
6000000000000077|Litigio|7454431
6000000000000078|Litigio|7450914
6000000000000079|Litigio|7315971
6000000000000080|Litigio|7421194
6000000000000081|Litigio|7450431
6000000000000082|Litigio|7319824
6000000000000083|Litigio|7419931
6000000000000084|Litigio|7361071
6000000000000085|Litigio|7314861
6000000000000086|Litigio|7318788
6000000000000086|Litigio|7318787
6000000000000086|Litigio|7318786
6000000000000087|Litigio|7317028
6000000000000087|Litigio|7317029
6000000000000088|Litigio|7421211
6000000000000089|Litigio|7314776
6000000000000090|Litigio|7319327
6000000000000091|Litigio|7450798
6000000000000092|Litigio|7344620
6000000000000093|Litigio|7420506
6000000000000093|Litigio|7419987
6000000000000095|Litigio|8880375
6000000000000096|Litigio|7317387
6000000000000097|Litigio|7316367
6000000000000098|Litigio|7420166
6000000000000099|Litigio|7454831
6000000000000100|Litigio|7420037
6000000000000101|Litigio|7319025
6000000000000102|Litigio|7448311
6000000000000103|Concursal|7455651
6000000000000104|Concursal|7451864
6000000000000105|Concursal|7315047
6000000000000105|Concursal|7315055
