6080206|92986|132663|NULL|2015-10-28
6084417|98572|94797|NULL|2016-03-10
6135328|103212|124598|NULL|1900-01-01
6075799|92925|130427|NULL|2016-12-15
6075792|92918|116582|NULL|2016-12-15
6075806|92932|92712|NULL|2016-12-15
6084404|98559|105689|NULL|2016-03-10
6075788|92914|129628|NULL|2016-12-15
6075816|92911|109748|NULL|2016-12-15
6084413|98568|88127|NULL|2016-03-10
6075797|92923|126367|NULL|2016-12-15
6084490|98531|111328|NULL|2015-10-06
6084411|98566|127976|NULL|2016-03-10
6134645|103223|99671|NULL|2015-11-20
6075793|92919|93968|NULL|2016-12-15
6084410|98565|96649|NULL|2016-03-10
6084408|98563|114417|NULL|2016-03-10
6084406|98561|112638|NULL|2016-03-10
6084412|98567|105865|NULL|2016-03-10
6075796|92922|106972|NULL|2016-12-15
6084407|98562|101982|NULL|2016-03-10
6084414|98569|133883|NULL|2016-03-10
6135618|103059|109571|NULL|2011-11-23
6075835|92879|112190|NULL|2016-05-10
6084415|98570|134156|NULL|2016-03-10
6136935|103169|124896|NULL|2015-09-24
6075817|92912|107377|NULL|2016-12-15
6075812|92907|111050|NULL|2016-12-15
6084405|98560|130056|NULL|2016-03-10
6075804|92930|94477|NULL|2016-12-15
6075853|92874|99864|NULL|2015-12-01
6075881|92795|94838|NULL|2017-05-31
6076013|92710|90739|NULL|2016-03-01
6075894|92808|99855|NULL|2017-09-12
6075815|92910|110186|NULL|2016-12-15
6075798|92924|93345|NULL|2016-12-15
6075809|92904|101763|NULL|2016-12-15
6075808|92903|120353|NULL|2016-12-15
6084409|98564|91947|NULL|2016-03-10
6075805|92931|119921|NULL|2016-12-15
6075885|92799|113682|NULL|2016-04-01
6075810|92905|108356|NULL|2016-12-15
6075995|92716|122099|NULL|2016-03-01
6076015|92712|131621|NULL|2016-03-01
6075975|92739|105135|NULL|2017-11-09
6075972|92736|92069|NULL|1900-01-01
6075996|92717|93568|NULL|2016-03-01
6076012|92709|126153|NULL|2016-03-01
6075994|92715|110983|NULL|2016-03-01
6075886|92800|114443|NULL|2016-04-01
6075880|92794|109184|NULL|2015-07-08
6135000|102859|116672|NULL|1900-01-01
6076138|92561|123922|NULL|2018-05-21
6076016|92713|128827|NULL|2016-03-01
6076051|92699|122526|NULL|2015-12-17
6076039|92687|117160|NULL|2015-11-19
6075962|92726|92981|NULL|2017-06-23
6076014|92711|90314|NULL|2016-03-01
6076011|92708|96604|NULL|2016-03-01
6136932|102907|118125|NULL|2015-10-16
6075757|92527|109258|NULL|2016-02-12
6076057|92657|96664|NULL|1900-01-01
6076327|92390|108238|NULL|2015-10-27
6753446|107658|128523|NULL|2017-07-17
6076208|92631|118405|NULL|2017-06-07
6084716|98266|104973|NULL|2016-06-21
6076010|92707|106070|NULL|2016-03-01
6076160|92583|89940|NULL|2016-06-23
6084771|98241|127075|NULL|2016-04-07
6076218|92641|91468|NULL|2015-06-30
6076083|92543|104382|NULL|2019-06-11
6076068|92552|102483|NULL|2016-05-17
6076149|92572|114768|NULL|2016-06-02
6076067|92551|97822|NULL|2015-12-01
6076159|92582|88268|NULL|2016-06-23
6076287|92441|109690|NULL|2017-12-13
6076069|92553|109803|NULL|2015-06-05
6076385|92364|106365|NULL|2015-11-05
6756924|107714|121881|NULL|2016-09-07
6354725|102638|105823|NULL|2016-06-13
6076357|92420|116086|NULL|1900-01-01
6753441|107657|128922|NULL|2017-08-11
6354935|102611|111248|NULL|2017-11-01
6354716|102607|101232|NULL|2016-04-19
6076321|92384|128219|NULL|2015-09-25
6135266|102714|89841|NULL|1900-01-01
6076395|92374|90563|NULL|2016-09-05
6076388|92367|109248|NULL|2015-11-05
6076393|92372|104622|NULL|2015-07-22
6037859|77558|118664|NULL|1900-01-01
6076403|92314|105054|NULL|2016-02-10
6076386|92365|116276|NULL|2015-10-20
6354727|102645|120897|NULL|2012-12-17
6076317|92380|118886|NULL|2015-09-10
6076346|92409|119288|NULL|1900-01-01
6346206|102521|119797|NULL|2017-01-13
6353937|102551|113545|NULL|2017-03-03
6745202|107541|103303|NULL|2017-05-16
6346239|102404|129493|NULL|2016-12-02
6354946|102646|112351|NULL|2012-12-17
6346195|102490|89671|NULL|2018-01-23
6346279|102510|111057|NULL|2017-01-13
6346493|102505|120879|NULL|2017-01-13
6043997|78127|118680|NULL|2013-03-02
6346364|102522|119610|NULL|2017-01-13
6346174|102514|128986|NULL|2017-01-13
6076296|92291|97174|NULL|2016-07-22
6076429|92340|111340|NULL|2018-11-21
6076405|92316|130080|NULL|2015-12-17
6353949|102606|115407|NULL|2016-04-19
6346153|102524|104804|NULL|2017-01-13
6076396|92375|96625|NULL|2015-07-21
6346252|102516|126906|NULL|2017-01-13
6346495|102531|111793|NULL|2016-11-09
6080421|97966|130719|NULL|2016-01-28
6346144|102515|113598|NULL|2017-01-13
6346374|102520|103222|NULL|2017-01-13
6346202|102511|118553|NULL|2017-01-13
6346372|102512|91122|NULL|2017-01-13
6346107|102517|90805|NULL|2017-01-13
6346354|102506|103319|NULL|2017-01-13
6346155|102491|92873|NULL|2018-01-23
6346370|102513|125246|NULL|2017-01-13
6346250|102518|95365|NULL|2017-01-13
6346505|102476|99756|NULL|2019-06-24
6346383|102526|92658|NULL|2019-07-03
6346173|102523|93884|NULL|2017-01-13
6346237|102519|123235|NULL|2017-01-13
6346451|102525|109181|NULL|2017-01-13
6346263|102492|103879|NULL|2018-01-23
6346456|102508|109704|NULL|2017-01-13
6346143|102483|96329|NULL|2012-12-01
6346275|102474|115382|NULL|2016-10-17
6346265|102507|115703|NULL|2017-01-13
6076295|92290|129462|NULL|2016-07-22
6346220|102467|112253|NULL|2017-03-21
6745144|107457|101355|NULL|2017-05-05
6346121|102504|101631|NULL|2017-01-13
6346289|102488|97543|NULL|2017-01-25
6080456|97938|122677|NULL|2016-06-28
