ACT_NUM_ACTIVO;IMPORTE_TAS_VIGENTE;FECHA_TAS_VIGENTE
6882661;8935.00;2018-06-30
6848270;6753.75;2018-01-17
6848739;6753.75;2018-01-17
6949371;43051.84;2018-12-05
6949641;57525.10;2018-12-05
6949589;8708.04;2019-11-25
6871338;58075.48;2019-05-25
6857297;106773.52;2018-01-04
6825540;17394.47;2019-11-30
6866688;74088.50;2017-01-03
6849717;122464.77;2018-01-17
7102088;173776.68;2019-05-08
7102090;174379.55;2002-05-29
7293344;121068.72;2019-10-09
7100547;66780.02;2018-05-19
7100524;85725.60;2018-05-19
7297150;1270402.68;2011-07-13
7297158;105000.00;2019-12-04
7297159;253018.24;2019-05-07
6868355;46652.89;2019-11-30
6826446;7757.00;2016-11-25
6826205;7359.71;2016-11-25
6826497;86684.00;2019-08-15
6878635;221872.98;2019-11-26
6934711;3911.00;2016-11-18
6860379;118525.25;2017-12-20
6859258;118525.25;2017-12-20
6858283;86128.14;2016-12-30
6856517;117408.30;2019-11-30
6876036;71228.93;2019-10-11
6876637;83579.09;2019-10-31
6875144;867050.37;2019-12-14
6876419;569366.07;2019-11-30
6875693;125026.43;2015-06-09
6875699;205957.35;2018-09-14
6851211;605669.60;2019-12-31
6877266;4315.72;2019-08-07
6878490;34496.97;2019-08-07
6857763;66140.61;2019-05-10
6856466;48812.90;2019-05-10
6879600;16324.56;2019-03-25
6878782;20739.86;2018-08-28
6849931;162660.00;2017-11-02
6874787;79919.90;2018-10-18
6883799;128276.45;2019-05-05
6865663;30864.06;2019-05-22
6867226;153019.56;2016-11-25
6826421;7178.36;2016-11-25
6826515;8168.66;2016-11-25
6826167;7359.71;2016-11-25
6875492;38465.85;2019-11-04
6879487;190276.90;2019-11-26
6859063;118525.25;2017-12-20
6882791;257732.14;2018-10-08
6879203;2470.54;2019-08-14
