Acreedor|Nº ident.fis.1
4000870|P3190300H
4000871|P3300400C
4000872|P3301600G
4000873|P3302000I
4000874|P3302300C
4000875|P3302400A
4000876|P3302500H
4000877|P3302600F
4000878|P3303100F
4000879|P3303200D
4000880|P3303500G
4000881|P3303600E
4000882|P3303700C
4000883|P3303900I
4000884|P3304200C
4000885|P3304400I
4000886|P3304900H
4000887|P3305100D
4000888|P3305500E
4000889|P3305800I
4000890|P3306000E
4000891|P3306600B
4000892|P3306900F
4000893|P3500100G
4000894|P3500200E
4000895|P3500300C
4000896|P3500400A
4000897|P3500600F
4000898|P3500800B
4000899|P3500900J
4000900|P3501000H
4000901|P3501100F
4000902|P3501200D
4000903|P3501300B
4000904|P3501800A
4000905|Q4667001D
4000906|Q4667002B
4000907|Q4667010E
4000908|Q4667016B
4000909|Q4667042H
4000910|P3502300A
4000911|P3502400I
4000912|P3502600D
4000913|P3502700B
4000914|P3502800J
4000915|P3502900H
4000916|P3503000F
4000917|P3503100D
4000918|P3503400H
4000919|P3800100D
4000920|P3800500E
4000921|P3800600C
4000922|P3800800I
4000923|P3800900G
4000924|P3801000E
4000925|P3801100C
4000926|P3801200A
4000927|P3801300I
4000928|P3801500D
4000929|P3801700J
4000930|P3801900F
4000931|P3802000D
4000932|P3802100B
4000933|P3802200J
4000934|P3802300H
4000935|P3802400F
4000936|P3802600A
4000937|P3802800G
4000938|P3803000C
4000939|P3803100A
4000940|P3803200I
4000941|P3803400E
4000942|P3803500B
4000943|P3803600J
4000944|P3803700H
4000945|P3803800F
4000946|P3803900D
4000947|P3804000B
4000948|P3804100J
4000949|P3804300F
4000950|P3804400D
4000951|P3804600I
4000952|P3804800E
4000953|P3804900C
4000954|P3805300E
4000955|P3900500D
4000956|P3901600A
4000957|P3902000C
4000958|P3902800F
4000959|P3903800E
4000960|P3904600H
4000961|P3905200F
4000962|P3905900A
4000963|P3906000I
4000964|P3906100G
4000965|P3906200E
4000966|P3907400J
4000967|P3907500G
4000968|P3908000G
4000969|P3908700B
4000970|P3909600C
4000971|P3910200I
4000972|P4300100G
4000973|P4300200E
4000974|P4300400A
4000975|P4300500H
4000976|P4300700D
4000977|P4300900J
4000978|P4301100F
4000979|P4301200D
4000980|P4301300B
4000981|P4301400J
4000982|P4301600E
4000983|P4301900I
4000984|P4302000G
4000985|P4302400I
4000986|P4302800J
4000987|P4303000F
4000988|P4303100D
4000989|P4303400H
4000990|P4303600C
4000991|P4303700A
4000992|P4303800I
4000993|P4304400G
4000994|P4304500D
4000995|P4304800H
4000996|P4305100B
4000997|P4305200J
4000998|P4305300H
4000999|P4305500C
4001000|P4306100A
4001001|P4306800F
4001002|P4306900D
4001003|P4307200H
4001004|P4307500A
4001005|P4307700G
4001006|P4307900C
4001007|P4308000A
4001008|P4308200G
4001009|P4308300E
4001010|P4308600H
4001011|P4308700F
4001012|P4308900B
4001013|P4309100H
4001014|P4309300D
4001015|P4309400B
4001016|P4309500I
4001017|P4309600G
4001018|P4309900A
4001019|P4310100E
4001020|P4310200C
4001021|P4310600D
4001022|P4311000F
4001023|P4311100D
4001024|P4311300J
4001025|P4311500E
4001026|P4311800I
4001027|P4312200A
4001028|P4312500D
4001029|P4312900F
4001030|P4313100B
4001031|P4313300H
4001032|P4313400F
4001033|P4313500C
4001034|P4313700I
4001035|P4313800G
4001036|P4313900E
4001037|P4314000C
4001038|P4314200I
4001039|P4314400E
4001040|P4314600J
4001041|P4315500A
4001042|P4315700G
4001043|P4316200G
4001044|P4316300E
4001045|P4316400C
4001046|P4316500J
4001047|P4316700F
4001048|P4316800D
4001049|P4317300D
4001050|P4318000I
4001051|P4318100G
4001052|P4318200E
4001053|P4318300C
4001054|P4318400A
4001055|P4318600F
4001056|P4400900I
4001057|P4401200C
4001058|P4401300A
4001059|P4402200B
4001060|P4402500E
4001061|P4402600C
4001062|P4405100A
4001063|P4406400D
4001064|P4407600H
4001065|P4412800G
4001066|P4414800D
4001067|P4417400A
4001068|P4417800B
4001069|P4420200J
4001070|P4421300G
4001071|P4421800F
4001072|P4422900C
4001073|P4423300E
4001074|P4425400A
4001075|P4426000H
4001076|P4426100F
4001077|P4500100E
4001078|P4500200C
4001079|P4500300A
4001080|P4500400I
4001081|P4500600D
4001082|P4500800J
4001083|P4501200B
4001084|P4501300J
4001085|P4501400H
4001086|P4501500E
4001087|P4501600C
4001088|P4501800I
4001089|P4501900G
4001090|P4502000E
4001091|P4502100C
4001092|P4502300I
4001093|P4502400G
4001094|P4502500D
4001095|P4502700J
4001096|P4502800H
4001097|P4503100B
4001098|P4503200J
4001099|P4503400F
4001100|P4503500C
4001101|P4503600A
4001102|P4503700I
4001103|P4503800G
4001104|P4503900E
4001105|P4504000C
4001106|P4504100A
4001107|P4504200I
4001108|P4504500B
4001109|P4504600J
4001110|P4504700H
4001111|P4504800F
4001112|P4505000B
4001113|P4505100J
4001114|P4505200H
4001115|P4505300F
4001116|P4505400D
4001117|P4505500A
4001118|P4505600I
4001119|P4505700G
4001120|P4505900C
4001121|P4506100I
4001122|P4506200G
4001123|P4506400C
4001124|P4506600H
4001125|P4506700F
4001126|P4507000J
4001127|P4507200F
4001128|P4507700E
4001129|P4507800C
4001130|P4507900A
4001131|P4508200E
4001132|P4508400A
4001133|P4508500H
4001134|P4508600F
4001135|P4508800B
4001136|P4508900J
4001137|P4509000H
4001138|P4509200D
4001139|P4509600E
4001140|P4509700C
4001141|P4509900I
4001142|P4510000E
4001143|P4510200A
4001144|P4510300I
4001145|P4510500D
4001146|P4510700J
4001147|P4510800H
4001148|P4511000D
4001149|P4511100B
4001150|P4511300H
4001151|P4511400F
4001152|P4511600A
4001153|P4511700I
4001154|P4511800G
4001155|P4511900E
4001156|P4512000C
4001157|P4512200I
4001158|P4512300G
4001159|P4512400E
4001160|P4512500B
4001161|P4512700H
4001162|P4512800F
4001163|P4512900D
4001164|P4513200H
4001165|P4513300F
4001166|P4513400D
4001167|P4513500A
4001168|P4513600I
4001169|P4513700G
4001170|P4513900C
4001171|P4514200G
4001172|P4514300E
4001173|P4514400C
4001174|P4514600H
4001175|P4515000J
4001176|P4515100H
4001177|P4515500I
4001178|P4515800C
4001179|P4515900A
4001180|P4516100G
4001181|P4516400A
4001182|P4516500H
4001183|P4516600F
4001184|P4516700D
4001185|P4516900J
4001186|P4517200D
4001187|P4517400J
4001188|P4517700C
4001189|P4517900I
4001190|P4518200C
4001191|P4518300A
4001192|P4518400I
4001193|P4518500F
4001194|P4518600D
4001195|P4518700B
4001196|P4518800J
4001197|P4518900H
4001198|P4519000F
4001199|P4519300J
4001200|P4519600C
4001201|P4519700A
4001202|P4519800I
4001203|P4519900G
4001204|P4520000C
4001205|P4520100A
4001206|P4520200I
4001207|P4520300G
4001208|P4520400E
4001209|P4520500B
4001210|P4520600J
4001211|P5000200E
4001212|P5000800B
4001213|P5001200D
4001214|P5002500F
4001215|P5003800I
4001216|P5004300I
4001217|P5005500C
4001218|P5005700I
4001219|P5006200I
4001220|P5006600J
4001221|P5006700H
4001222|P5006800F
4001223|P5007400D
4001224|P5008900B
4001225|P5009500I
4001226|P5009900A
4001227|P5010300A
4001228|P5011700A
4001229|P5011900G
4001230|P5012700J
4001231|P5015100J
4001232|P5015300F
4001233|P5016000A
4001234|P5016400C
4001235|P5018200E
4001236|P5018300C
4001237|P5019000H
4001238|P5019400J
4001239|P5020100C
4001240|P5020200A
4001241|P5020500D
4001242|P5020900F
4001243|P5021000D
4001244|P5022000C
4001245|P5022400E
4001246|P5022700H
4001247|P5023300F
4001248|P5023800E
4001249|P5025400B
4001250|P5025500I
4001251|P5026100G
4001252|P5026600F
4001253|P5027700C
4001254|P5028400I
4001255|P5029800I
4001256|P5030200I
4001257|P5030400E
4001258|P5831301F
4001259|P6600004C
4001260|P6920201H
4001261|Q0818600I
4001262|Q3300312J
4001263|Q5000454H
4001264|S2633001I
4001265|P00700800
4001266|P0100019I
4001267|P0100100G
4001268|P0103400H
4001269|P0104800H
4001270|P0105300H
4001271|P0105400F
4001272|P0106800F
4001273|P01802800
4001274|P01819700
4001275|P0300008J
4001276|P0300100E
4001277|P0300200C
4001278|P0300400I
4001279|P0300500F
4001280|P0300600D
4001281|P0300700B
4001282|P0300800J
4001283|P0301100D
4001284|P0301200B
4001285|P0301300J
4001286|P0301500E
4001287|P0301700A
4001288|P0301900G
4001289|P0302100C
4001290|P0302300I
4001291|P0302400G
4001292|P0302500D
4001293|P0302600B
4001294|P0302900F
4001295|P0303000D
4001296|P0303100B
4001297|P0303400F
4001298|P0303500C
4001299|P0303700I
4001300|P0304000C
4001301|P0304100A
4001302|P0304200I
4001303|P0304300G
4001304|P0304400E
4001305|P0304500B
4001306|P0304600J
4001307|P0304700H
4001308|P0304800F
4001309|P0304900D
4001310|P0305000B
4001311|P0305200H
4001312|P0305300F
4001313|P0305400D
4001314|P0305500A
4001315|P0305600I
4001316|P0305800E
4001317|P0305900C
4001318|P0306100I
4001319|P0306200G
4001320|P0306300E
4001321|P0306400C
4001322|P0306500J
4001323|P0306600H
4001324|P0306900B
4001325|P0307000J
4001326|P0307100H
4001327|P0307400B
4001328|P0307600G
4001329|P0307800C
4001330|P0307900A
4001331|P0308000I
4001332|P0308100G
4001333|P0308200E
4001334|P0308300C
4001335|P0308500H
4001336|P0308600F
