Mapeo Clase-Activo|
Cód. Activo|Clase
000001-01|
058496|00003900
058509|00003900
058534|00003900
058535|00003900
058536|00003900
058537|00003900
058538|00003900
058539|00003900
058540|00003900
058555|00003900
058570|00003900
058598|00003900
058604|00003900
058606|00003900
058610|00003900
058617|00003900
058619|00003900
058621|00003900
058623|00003900
05865T|00100000
058697|00003900
058698|00003900
058722|00003900
058752|00003900
058755|00003900
058757|00003900
058767|00003900
058790|00003900
058791|00003900
058794|00003900
058800|00003900
058816|00003900
058817|00003900
058821|00003900
058822|00003900
058823|00003900
058824|00003900
058842|00003300
058852|00003900
058856|00003900
058860|00003900
058866|00003900
058918|00003900
058923|00003900
058939|00003300
058950|00003300
058953|00003900
058986|00003300
058992|00003300
059034|00003900
059037|00003900
059047|00003900
059092|00003900
059093|00003900
059097|00003900
059120|00003900
059121|00003900
059132|00003900
059160|00003900
059164|00003900
059175|00003300
059185|00003900
059186|00003900
059187|00003900
059192|00003900
059203|00003900
059214|00003900
059220|00003300
059228|00003300
059275|00003900
059277|00003300
059294|00003900
059313|00003900
059314|00003900
059315|00003900
059318|00003900
059319|00003900
059320|00003900
059327|00003900
059348|00003900
059349|00003900
059396|00003900
059397|00003900
059399|00003900
059408|00003900
059419|00003900
059420|00003900
059423|00003900
059435|00003900
059437|00003900
059441|00003900
059451|00003900
059454|00003900
059481|00003900
059482|00003900
059485|00003900
059493|00003900
059496|00003900
059529|00003900
059530|00003900
059533|00003900
059544|00003900
059566|00003900
059567|00003900
059582|00003900
059600|00003900
059622|00003900
059660|00003900
059662|00003900
059699|00003900
059700|00003900
059738|00003900
059740|00003900
059753|00003900
059754|00003900
059777|00003900
059782|00003900
059783|00003900
059792|00003300
059793|00003300
059794|00003900
059808|00003900
059826|00003900
059847|00003900
059848|00003900
059860|00003900
059872|00003900
059874|00003900
059878|00003900
059883|00003900
059906|00003900
059917|00003900
059927|00003900
059940|00003900
059945|00003900
059951|00003900
059959|00003900
059981|00003900
059983|00003900
060007|00003900
060014|00003900
060025|00003900
060037|00003900
060038|00003900
060040|00003900
060042|00003900
060043|00003900
060044|00003900
060045|00003900
060046|00003900
060047|00003900
060048|00003900
060057|00003900
060058|00003900
060075|00003900
060098|00003900
060099|00003900
060100|00003900
060108|00003900
060109|00003900
060127|00003900
060139|00003900
060144|00003900
060157|00003900
060165|00003900
060168|00003900
060170|00003900
060177|00003900
060191|00003900
060194|00003900
060202|00003900
060208|00003900
060219|00003900
060221|00003900
060230|00003900
060232|00003900
060234|00003900
060255|00003900
060279|00003900
060317|00003900
060334|00003300
060336|00003900
060343|00003900
060348|00003900
060359|00003900
060360|00003900
060370|00003900
060371|00003900
060388|00003900
060391|00003900
060393|00003900
060406|00003900
060431|00003900
060432|00003900
060451|00003900
060460|00003900
060466|00003900
060467|00003900
060468|00003900
060469|00003900
060470|00003900
060471|00003900
060472|00003900
060473|00003900
060474|00003900
060475|00003900
060476|00003900
060477|00003900
060478|00003900
060491|00003900
060522|00003900
060528|00003900
060536|00003900
060568|00003900
060569|00003900
060570|00003900
060573|00003900
060580|00003900
060582|00003900
060590|00003900
060609|00003900
060610|00003900
060612|00003900
060627|00003900
060636|00003900
060637|00003900
060638|00003900
060639|00003900
060640|00003900
