+0000000006126458                  11+00000000061264580000000000000000
+0000000006126463                  11+00000000061264630000000000000000
+0000000006126467                  11+00000000061264670000000000000000
+0000000006127589                  11+00000000061275890000000000000000
+0000000006126468                  11+00000000061264680000000000000000
+0000000006126482                  11+00000000061264820000000000000000
+0000000006125859                  11+00000000061258590000000000000000
+0000000006126985                  11+00000000061269850000000000000000
+0000000006127002                  11+00000000061270020000000000000000
+0000000006127003                  11+00000000061270030000000000000000
+0000000000202557                  11+00000000002025570000000000000000
+0000000000203564                  11+00000000002035640000000000000000
+0000000000204103                  11+00000000002041030000000000000000
+0000000000203348                  11+00000000002033480000000000000000
+0000000000203409                  11+00000000002034090000000000000000
+0000000000203570                  11+00000000002035700000000000000000
+0000000000203350                  11+00000000002033500000000000000000
+0000000000945400                  11+00000000009454000000000000000000
+0000000006127012                  11+00000000061270120000000000000000
+0000000006127130                  11+00000000061271300000000000000000
+0000000006126207                  11+00000000061262070000000000000000
+0000000006126486                  11+00000000061264860000000000000000
+0000000006127141                  11+00000000061271410000000000000000
+0000000006126219                  11+00000000061262190000000000000000
+0000000006126494                  11+00000000061264940000000000000000
+0000000006126221                  11+00000000061262210000000000000000
+0000000006127142                  11+00000000061271420000000000000000
+0000000006126223                  11+00000000061262230000000000000000
+0000000006127143                  11+00000000061271430000000000000000
+0000000006126226                  11+00000000061262260000000000000000
+0000000006126227                  11+00000000061262270000000000000000
+0000000000201893                  11+00000000002018930000000000000000
+0000000006127192                  11+00000000061271920000000000000000
+0000000000201894                  11+00000000002018940000000000000000
+0000000006126570                  11+00000000061265700000000000000000
+0000000006126571                  11+00000000061265710000000000000000
+0000000006127204                  11+00000000061272040000000000000000
+0000000006126588                  11+00000000061265880000000000000000
+0000000006127212                  11+00000000061272120000000000000000
+0000000006126611                  11+00000000061266110000000000000000
+0000000006127213                  11+00000000061272130000000000000000
+0000000006127223                  11+00000000061272230000000000000000
+0000000006126649                  11+00000000061266490000000000000000
+0000000006126650                  11+00000000061266500000000000000000
+0000000006127233                  11+00000000061272330000000000000000
+0000000006127234                  11+00000000061272340000000000000000
+0000000006126653                  11+00000000061266530000000000000000
+0000000006126654                  11+00000000061266540000000000000000
