OFR_NUM_OFERTA;OFR_ID;eco_fecha_cont_propietario
90208379;502354;2019-10-16 00:00:00.0000000
90223033;517474;2019-12-13 00:00:00.0000000
90233649;528935;2020-01-20 00:00:00.0000000
90229743;524526;2020-03-04 00:00:00.0000000
90226463;521003;2020-02-07 00:00:00.0000000
90229823;524638;2020-03-05 00:00:00.0000000
90208361;502336;2019-10-07 00:00:00.0000000
90206340;500208;2020-02-07 00:00:00.0000000
90216265;510543;2019-12-30 00:00:00.0000000
90227091;521659;2019-12-13 00:00:00.0000000
90225423;519911;2019-12-02 00:00:00.0000000
90233296;528515;2020-03-11 00:00:00.0000000
90217950;512281;2019-11-12 00:00:00.0000000
90233543;528780;2019-12-31 00:00:00.0000000
90237727;533245;2020-03-11 00:00:00.0000000
90228559;523151;2020-02-03 00:00:00.0000000
90221731;516142;2019-10-30 00:00:00.0000000
90221296;515705;2020-01-24 00:00:00.0000000
90210514;504581;2019-10-02 00:00:00.0000000
90213830;508065;2019-09-30 00:00:00.0000000
90225886;520409;2020-01-13 00:00:00.0000000
90230450;525346;2019-12-31 00:00:00.0000000
90221306;515715;2020-01-22 00:00:00.0000000
90211501;505625;2019-11-05 00:00:00.0000000
90218779;513136;2019-11-14 00:00:00.0000000
90227171;521739;2019-12-04 00:00:00.0000000
90215627;509905;2019-11-11 00:00:00.0000000
90231437;526437;2019-12-31 00:00:00.0000000
90236119;531534;2020-03-03 00:00:00.0000000
90234257;529561;2020-02-21 00:00:00.0000000
90224215;518684;2019-12-12 00:00:00.0000000
90236544;532023;2020-03-02 00:00:00.0000000
90232291;527395;2019-12-30 00:00:00.0000000
90209957;503984;2019-12-05 00:00:00.0000000
90209848;503872;2019-10-11 00:00:00.0000000
90202136;495899;2019-09-06 00:00:00.0000000
90224211;518680;2019-11-27 00:00:00.0000000
90238600;534128;2020-03-05 00:00:00.0000000
90225590;520096;2019-12-19 00:00:00.0000000
90227644;522217;2019-12-13 00:00:00.0000000
90209781;503805;2019-09-30 00:00:00.0000000
90207514;501439;2019-12-13 00:00:00.0000000
90209832;503856;2019-10-14 00:00:00.0000000
90205241;499075;2019-10-07 00:00:00.0000000
90210928;505038;2019-12-03 00:00:00.0000000
90210243;504282;2019-10-11 00:00:00.0000000
90214531;508795;2019-11-22 00:00:00.0000000
90229705;524488;2020-01-09 00:00:00.0000000
90205244;499078;2019-10-01 00:00:00.0000000
90229434;524174;2019-12-31 00:00:00.0000000
90216352;510643;2019-12-12 00:00:00.0000000
90218743;513100;2019-12-20 00:00:00.0000000
90233536;528773;2020-01-02 00:00:00.0000000
90234138;529442;2020-02-18 00:00:00.0000000
90219351;513719;2019-11-19 00:00:00.0000000
90228474;523066;2020-01-24 00:00:00.0000000
90214492;508756;2019-12-19 00:00:00.0000000
90238514;534042;2020-02-17 00:00:00.0000000
90230183;525039;2020-01-22 00:00:00.0000000
90227968;522560;2019-11-28 00:00:00.0000000
90232067;527165;2019-12-31 00:00:00.0000000
90225285;519773;2019-12-31 00:00:00.0000000
90217796;512127;2019-11-27 00:00:00.0000000
90209974;504001;2019-10-29 00:00:00.0000000
90235225;530573;2020-02-25 00:00:00.0000000
90226572;521120;2020-02-20 00:00:00.0000000
90236329;531782;2020-02-17 00:00:00.0000000
90217600;511931;2019-12-30 00:00:00.0000000
90221263;515672;2020-01-14 00:00:00.0000000
90235463;530824;2020-02-12 00:00:00.0000000
90210273;504310;2019-11-28 00:00:00.0000000
90229475;524226;2020-02-24 00:00:00.0000000
90218878;513235;2019-12-11 00:00:00.0000000
90209703;503721;2019-10-22 00:00:00.0000000
90217017;511333;2019-12-03 00:00:00.0000000
90230765;525684;2019-12-11 00:00:00.0000000
90217589;511920;2019-12-05 00:00:00.0000000
90214196;508452;2019-11-27 00:00:00.0000000
90224635;519097;2019-12-20 00:00:00.0000000
90232009;527107;2020-02-12 00:00:00.0000000
90214707;508971;2019-10-29 00:00:00.0000000
90206320;500177;2019-09-25 00:00:00.0000000
90203246;497059;2019-09-23 00:00:00.0000000
90218035;512384;2019-12-10 00:00:00.0000000
90202560;496337;2019-12-12 00:00:00.0000000
90220876;515273;2019-11-21 00:00:00.0000000
90222388;516814;2019-12-10 00:00:00.0000000
90204515;498345;2019-11-04 00:00:00.0000000
90235039;530379;2020-03-12 00:00:00.0000000
90233513;528750;2020-02-21 00:00:00.0000000
90210839;504930;2019-12-18 00:00:00.0000000
90228040;522632;2020-02-27 00:00:00.0000000
90206503;500371;2019-10-11 00:00:00.0000000
90233179;528395;2020-01-02 00:00:00.0000000
90233488;528725;2020-02-13 00:00:00.0000000
90217595;511926;2019-10-21 00:00:00.0000000
90137772;430496;2018-12-31 00:00:00.0000000
90215100;509366;2019-09-26 00:00:00.0000000
90196787;490400;2019-07-31 00:00:00.0000000
90139006;431730;2018-12-28 00:00:00.0000000
90214559;508823;2019-09-30 00:00:00.0000000
11663;382935;2018-02-27 00:00:00.0000000
11270;383109;2017-12-27 00:00:00.0000000
90235794;531189;2019-12-31 00:00:00.0000000
90216493;510784;2019-09-25 00:00:00.0000000
14138;381075;2018-08-30 00:00:00.0000000
90142915;435637;2018-12-28 00:00:00.0000000
90145838;438560;2019-02-11 00:00:00.0000000
10510;383399;2018-05-04 00:00:00.0000000
90235891;531300;2019-12-31 00:00:00.0000000
90177700;470533;2019-06-20 00:00:00.0000000
10119;383555;2017-11-06 00:00:00.0000000
8685;383996;2017-07-05 00:00:00.0000000
90186120;479148;2019-10-30 00:00:00.0000000
90194648;488163;2019-10-30 00:00:00.0000000
90161485;454323;2019-03-11 00:00:00.0000000
10172;383535;2017-10-30 00:00:00.0000000
13174;381844;2018-03-28 00:00:00.0000000
9171;383814;2017-08-04 00:00:00.0000000
14460;380795;2018-07-26 00:00:00.0000000
90171215;464077;2019-04-30 00:00:00.0000000
13383;381684;2018-05-08 00:00:00.0000000
15373;380025;2018-10-25 00:00:00.0000000
90152052;444810;2019-02-11 00:00:00.0000000
90170698;463560;2019-04-09 00:00:00.0000000
10267;383490;2017-10-31 00:00:00.0000000
90169008;461870;2019-04-29 00:00:00.0000000
90235670;531051;2019-12-31 00:00:00.0000000
90169558;462420;2019-03-28 00:00:00.0000000
90239398;534968;2020-03-02 00:00:00.0000000
90223777;518230;2019-12-05 00:00:00.0000000
90235235;530583;2020-02-03 00:00:00.0000000
90207719;501652;2019-12-18 00:00:00.0000000
90231253;526240;2020-02-28 00:00:00.0000000
90200108;493798;2019-08-29 00:00:00.0000000
90233635;528913;2020-02-17 00:00:00.0000000
90238537;534065;2020-03-04 00:00:00.0000000
90221538;515947;2019-11-21 00:00:00.0000000
90230162;525018;2019-12-27 00:00:00.0000000
90211469;505594;2020-01-07 00:00:00.0000000
90211956;506093;2019-10-09 00:00:00.0000000
90225501;519989;2019-11-21 00:00:00.0000000
90229585;524357;2019-12-20 00:00:00.0000000
90236861;532345;2020-02-28 00:00:00.0000000
90233252;528469;2020-01-02 00:00:00.0000000
90226192;520715;2019-11-29 00:00:00.0000000
90215718;509996;2019-11-05 00:00:00.0000000
90203578;497396;2019-10-15 00:00:00.0000000
90204957;498787;2019-08-19 00:00:00.0000000
90225092;519564;2019-12-16 00:00:00.0000000
90216291;510569;2019-12-03 00:00:00.0000000
90199851;493526;2019-07-31 00:00:00.0000000
90210648;504729;2019-10-28 00:00:00.0000000
90223294;517736;2019-12-26 00:00:00.0000000
90236530;532009;2020-03-05 00:00:00.0000000
90226064;520587;2020-01-14 00:00:00.0000000
90194072;487536;2019-08-02 00:00:00.0000000
90227520;522093;2019-12-18 00:00:00.0000000
90221358;515767;2019-11-13 00:00:00.0000000
90220768;515147;2019-11-04 00:00:00.0000000
90221441;515850;2020-02-04 00:00:00.0000000
90224931;519399;2019-12-30 00:00:00.0000000
90233932;529236;2020-02-20 00:00:00.0000000
90229577;524349;2019-04-03 00:00:00.0000000
90235854;531263;2020-03-05 00:00:00.0000000
90232141;527239;2020-02-17 00:00:00.0000000
90221604;516013;2020-02-28 00:00:00.0000000
90211596;505720;2019-12-27 00:00:00.0000000
90226362;520902;2019-11-29 00:00:00.0000000
90213288;507474;2019-10-18 00:00:00.0000000
90225986;520509;2019-11-28 00:00:00.0000000
90217379;511710;2019-12-13 00:00:00.0000000
90230157;525013;2020-01-29 00:00:00.0000000
90233080;528296;2020-01-28 00:00:00.0000000
90230594;525513;2019-12-27 00:00:00.0000000
90220787;515166;2020-02-04 00:00:00.0000000
90222773;517208;2019-11-22 00:00:00.0000000
90221060;515457;2019-12-31 00:00:00.0000000
90198173;491816;2019-10-29 00:00:00.0000000
90230008;524835;2019-12-24 00:00:00.0000000
90208903;502902;2019-10-22 00:00:00.0000000
90214288;508552;2019-12-04 00:00:00.0000000
90218886;513243;2019-11-11 00:00:00.0000000
90238092;533615;2020-02-12 00:00:00.0000000
90245369;541066;2020-02-28 00:00:00.0000000
90235271;530619;2020-01-24 00:00:00.0000000
90208600;502583;2019-10-21 00:00:00.0000000
90210625;504706;2019-10-31 00:00:00.0000000
90217291;511608;2020-02-14 00:00:00.0000000
90238302;533825;2020-02-25 00:00:00.0000000
90232979;528195;2019-12-23 00:00:00.0000000
90224673;519135;2020-03-13 00:00:00.0000000
90207286;501211;2019-09-12 00:00:00.0000000
90236498;531977;2020-01-31 00:00:00.0000000
90228152;522744;2019-12-27 00:00:00.0000000
90228051;522643;2019-12-23 00:00:00.0000000
90206420;500288;2019-12-20 00:00:00.0000000
90232389;527493;2020-01-15 00:00:00.0000000
