ID HAYA|ID PRINEX|RC
6881948|21135|7239802VK3173N0001MZ
6882235|21136|7239802VK3173N0001MZ
6880846|21137|7239802VK3173N0001MZ
6878931|21138|7239802VK3173N0001MZ
6882236|21139|7239802VK3173N0001MZ
6880352|21140|7239802VK3173N0001MZ
6881949|21141|7239802VK3173N0001MZ
6852461|89766|7259403VK3375N0006XQ
6866903|74493|7389112VK1378N0001KM
6857243|51154|7442301VJ4874S0001QO
6858232|51155|7442301VJ4874S0001QO
6855640|51156|7442301VJ4874S0001QO
6857153|51157|7442301VJ4874S0001QO
6856701|51158|7442301VJ4874S0001QO
6858233|51159|7442301VJ4874S0001QO
6856769|51160|7442301VJ4874S0001QO
6857244|51161|7442301VJ4874S0001QO
7293294|104083|7472490VJ2077S0001QL
7293285|104084|7472490VJ2077S0001QL
7293293|104085|7472490VJ2077S0001QL
7293292|104086|7472490VJ2077S0001QL
7293319|104087|7472490VJ2077S0001QL
7293313|104088|7472490VJ2077S0001QL
7293314|104089|7472490VJ2077S0001QL
7293297|104090|7472490VJ2077S0001QL
7293321|104091|7472490VJ2077S0001QL
7293300|104092|7472490VJ2077S0001QL
7293299|104093|7472490VJ2077S0001QL
7293315|104094|7472490VJ2077S0001QL
7293301|104095|7472490VJ2077S0001QL
7293305|104096|7472490VJ2077S0001QL
7293312|104097|7472490VJ2077S0001QL
7293302|104098|7472490VJ2077S0001QL
7293310|104069|7472490VJ2077S0001QL
7293318|104070|7472490VJ2077S0001QL
7293307|104071|7472490VJ2077S0001QL
7293303|104072|7472490VJ2077S0001QL
7293317|104073|7472490VJ2077S0001QL
7293311|104074|7472490VJ2077S0001QL
7293306|104075|7472490VJ2077S0001QL
7293304|104076|7472490VJ2077S0001QL
7293298|104077|7472490VJ2077S0001QL
7293309|104078|7472490VJ2077S0001QL
7293316|104079|7472490VJ2077S0001QL
7293287|104082|7472490VJ2077S0001QL
7293308|104080|7472490VJ2077S0001QL
7293320|104081|7472490VJ2077S0001QL
6882224|30210|7774909UK6177S0001RT
6882555|30211|7774909UK6177S0001RT
6882168|30212|7774909UK6177S0001RT
6882589|30213|7774909UK6177S0001RT
6881595|30214|7774909UK6177S0001RT
6883709|30215|7774909UK6177S0001RT
6882991|30216|7774909UK6177S0001RT
6882992|30217|7774909UK6177S0001RT
6877220|1819|7869009VJ6176N0004XR
6884294|71768|7969109QC2976N0001GU
6878207|72928|8038606VJ9383N0026WL
6862311|61551|8334035VK5283S0067TK
6877354|25784|8343614YJ2884S0001FT
6938563|91078|8357461YK4285N0120BH
6856390|16467|8438005VK5283N0005FS
6856391|16468|8438005VK5283N0006GD
6855755|16469|8438005VK5283N0007HF
6856307|16470|8438005VK5283N0008JG
6855756|16471|8438005VK5283N0009KH
6856115|16472|8438005VK5283N0010HF
6856308|16473|8438005VK5283N0011JG
6856116|16474|8438005VK5283N0012KH
6856117|16475|8438005VK5283N0013LJ
6855523|16852|8438005VK5283N0014BK
6858263|16853|8438005VK5283N0015ZL
6856313|16854|8438005VK5283N0016XB
6856118|16855|8438005VK5283N0017MZ
6856119|16856|8438005VK5283N0018QX
6855525|16857|8438005VK5283N0019WM
6855526|16858|8438005VK5283N0020MZ
6855527|16859|8438005VK5283N0021QX
6855760|16860|8438005VK5283N0022WM
6855528|16861|8438005VK5283N0023EQ
6855896|16862|8438005VK5283N0024RW
6855757|16863|8438005VK5283N0025TE
6856309|16865|8438005VK5283N0027UT
6855759|16866|8438005VK5283N0028IY
6856311|16867|8438005VK5283N0029OU
6856312|16868|8438005VK5283N0030UT
6855895|16869|8438005VK5283N0031IY
6852711|5133|8447102VK4384N0168MQ
6849567|74510|8538501VM3583N0001OY
6848098|74508|8541123VM3584S0001XI
6849329|74507|8541164VM3584S0001UI
6860586|59287|8601524XJ0180S0004JY
6861218|59288|8601524XJ0180S0005KU
6864359|70091|8838503VJ9383N0001EM
6864305|70093|8838503VJ9383N0001EM
6863898|70095|8838503VJ9383N0001EM
6863395|70098|8838503VJ9383N0001EM
6864413|70100|8838503VJ9383N0001EM
6863396|70103|8838503VJ9383N0001EM
6864479|70105|8838503VJ9383N0001EM
6848046|74509|8841901VM3584S0001QI
6876093|2279|9313001VJ7191S0027SP
6855877|28906|9485401VK0098N0214KB
6857271|28953|9485401VK0098N0219MW
6857272|28954|9485401VK0098N0223QE
6855964|28955|9485401VK0098N0224WR
6855965|28956|9485401VK0098N0226RY
6855966|28957|9485401VK0098N0227TU
6857267|28926|9485401VK0098N0233IP
6854705|29064|9485401VK0098N0241DG
6854330|28981|9485401VK0098N0261RY
6855472|29004|9485401VK0098N0266OA
6854713|29136|9485401VK0098N0270PS
6857336|29116|9485401VK0098N0276HK
6855556|29127|9485401VK0098N0277JL
6854715|29143|9485401VK0098N0281KB
6854329|28978|9485401VK0098N0291WR
6854621|28976|9485401VK0098N0292ET
6873583|58873|9497406VK9299F0001MZ
6858595|32670|9568001VJ1196N0583LX
6860062|32687|9568001VJ1196N0640FJ
6859680|32695|9568001VJ1196N0676KZ
6858600|32701|9568001VJ1196N0682ZQ
6858978|32708|9568001VJ1196N0689TI
6860395|32710|9568001VJ1196N0691RU
6859499|32714|9568001VJ1196N0695IA
6859321|32715|9568001VJ1196N0696OS
6858603|32717|9568001VJ1196N0698AF
6860396|32718|9568001VJ1196N0699SG
6858979|32721|9568001VJ1196N0703GK
6858982|32734|9568001VJ1196N0716WT
6859391|32735|9568001VJ1196N0717EY
6859501|32736|9568001VJ1196N0718RU
6860399|32738|9568001VJ1196N0773KZ
6877285|37771|9953602VJ9395S0073UT
7225885|101371|N0280063G
7225883|101372|N0280064X
6852302|38080|N9655937D
6848946|58988|U0143926W
7068211|98202|U1501775E
7072477|99141|UO141817T
6868616|81458|8928201YJ2882N0026KT
