Num. Activo Haya;Fecha Recepción Plusvalía;F. pago / presentación plusvalía;F. presentación de recurso;F. respuesta de recurso;Apertura de expediente de recurso extrajudicial y seguimiento del mismo;Importe pagado plusvalía;Gasto asociado;Minusvalía;Exento;Autoliquidación
6994568;31/12/1899;11/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6998016;31/12/1899;11/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
5937888;31/12/1899;11/12/2019;31/12/1899;31/12/1899;N;378,38;;N;N;N
6994309;31/12/1899;11/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6796996;31/12/1899;11/12/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6836055;31/12/1899; 06/11/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6990759;31/12/1899;11/12/2019;31/12/1899;31/12/1899;N;141,11;;S;N;N
6999213;31/12/1899;11/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6995056;31/12/1899;05/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6891546;31/12/1899;05/12/2019;31/12/1899;31/12/1899;N;768,89;;N;N;N
6979368;31/12/1899;10/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
5941212;31/12/1899;05/12/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6991715;31/12/1899;11/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
7009112;31/12/1899;25/02/2020;31/12/1899;31/12/1899;N;0;;N;N;N
7009116;31/12/1899;25/02/2020;31/12/1899;31/12/1899;N;0;;N;N;N
7018721;31/12/1899;10/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6810478;31/12/1899;11/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6959907;31/12/1899;11/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6996763;31/12/1899;10/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
7074778;31/12/1899;11/12/2019;31/12/1899;31/12/1899;N;5683,05;;N;N;N
7074779;31/12/1899;11/12/2019;31/12/1899;31/12/1899;N;4003,97;;N;N;N
5925392;31/12/1899;11/12/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6990847;31/12/1899;11/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6992189;31/12/1899;11/12/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6992190;31/12/1899;11/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
7010138;31/12/1899;11/12/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6997829;31/12/1899;05/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6997003;31/12/1899;05/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
5935972;31/12/1899;05/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
5965015;31/12/1899;03/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
5967963;31/12/1899;05/12/2019;31/12/1899;31/12/1899;N;121,15;;S;N;N
6059539;31/12/1899;05/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6938807;31/12/1899;05/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6991243;31/12/1899;05/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6996002;31/12/1899;05/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6997183;31/12/1899;05/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6995661;31/12/1899;05/12/2019;31/12/1899;31/12/1899;N;24429,64;;S;N;N
6997010;31/12/1899;03/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6997343;31/12/1899;05/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
7016135;31/12/1899;05/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
5928231;31/12/1899;05/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
5958008;31/12/1899;05/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
5963565;31/12/1899;05/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6059219;31/12/1899;05/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6062762;31/12/1899;05/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6934264;31/12/1899;05/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6938307;31/12/1899;05/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6938780;31/12/1899;05/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6940491;31/12/1899;11/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6942759;31/12/1899;05/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6994821;31/12/1899;05/12/2019;31/12/1899;31/12/1899;N;175,3;;S;N;N
6995090;31/12/1899;05/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6995611;31/12/1899;05/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6997122;31/12/1899;05/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
5938290;31/12/1899;13/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
5962787;31/12/1899;13/12/2019;31/12/1899;31/12/1899;N;0;;N;N;N
7089567;31/12/1899;13/12/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6060553;31/12/1899;13/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6060554;31/12/1899;13/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
5932798;31/12/1899;13/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
5929189;31/12/1899;13/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
5929747;31/12/1899;04/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
5932042;31/12/1899;02/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6061581;31/12/1899;04/12/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6528298;31/12/1899;02/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
5927561;31/12/1899;02/12/2019;31/12/1899;31/12/1899;N;278,6;;N;N;N
6957995;31/12/1899;02/12/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6993557;31/12/1899;27/11/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6993558;31/12/1899;27/11/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6993559;31/12/1899;27/11/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6993562;31/12/1899;27/11/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6993563;31/12/1899;27/11/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6993564;31/12/1899;27/11/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6993565;31/12/1899;27/11/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6993566;31/12/1899;27/11/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6993567;31/12/1899;27/11/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6993577;31/12/1899;27/11/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6993578;31/12/1899;27/11/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6993579;31/12/1899;27/11/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6993581;31/12/1899;27/11/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6993582;31/12/1899;27/11/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6993584;31/12/1899;27/11/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6993585;31/12/1899;27/11/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6993586;31/12/1899;27/11/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6993587;31/12/1899;27/11/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6993588;31/12/1899;27/11/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6993641;31/12/1899;03/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6996760;31/12/1899;02/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
5958705;31/12/1899;02/12/2019;31/12/1899;31/12/1899;N;305,39;;S;N;N
6991118;31/12/1899;20/11/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6995599;31/12/1899;04/12/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6992463;31/12/1899;02/12/2019;31/12/1899;31/12/1899;N;125,71;;S;N;N
6994856;31/12/1899;02/12/2019;31/12/1899;31/12/1899;N;639,82;;S;N;N
6995205;31/12/1899;02/12/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6995206;31/12/1899;02/12/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6996458;31/12/1899;02/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6976528;31/12/1899;02/12/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6938279;31/12/1899;02/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
7009957;31/12/1899;02/12/2019;31/12/1899;31/12/1899;N;0;;N;N;N
