ID HAYA;ID SERVICER;ID INMUEBLE BS
7041649;214802224445;214802224445
7041650;214802224446;214802224446
7041651;214802224447;214802224447
7041652;214802224448;214802224448
7041653;214802224449;214802224449
7041654;214802224450;214802224450
7041655;214802224451;214802224451
7041656;214802224452;214802224452
7041657;214802224453;214802224453
7041658;214802224454;214802224454
7041659;214804224479;214804224479
7041660;214806224475;214806224475
7041661;214806224476;214806224476
7041662;214806224477;214806224477
7041663;214806224478;214806224478
7041664;214807224540;214807224540
7041665;214807224541;214807224541
7041666;214811224545;214811224545
7041667;214812224549;214812224549
7041668;214814224555;214814224555
7041669;214815224565;214815224565
7041670;214818224566;214818224566
7041671;214819224553;214819224553
7041672;214820224551;214820224551
7041673;214821224550;214821224550
7041674;214823224578;214823224578
7041675;214825224597;214825224597
7041676;214827224600;214827224600
7041677;214833224608;214833224608
7041678;214835224610;214835224610
7041679;214837224626;214837224626
7041680;214840224637;214840224637
7041681;214841224647;214841224647
7041682;214842224649;214842224649
7041683;214845224653;214845224653
7041684;214846224654;214846224654
7041685;214846224655;214846224655
7041686;214846224656;214846224656
7041687;214846224657;214846224657
7041688;214847224659;214847224659
7041689;214848224661;214848224661
7041690;214848224662;214848224662
7041691;214849224663;214849224663
7041692;214853224667;214853224667
7041693;214856224673;214856224673
7041694;214857224713;214857224713
7041695;214857224714;214857224714
7041696;214857224715;214857224715
7041697;214858224719;214858224719
7041698;214859224720;214859224720
7041699;214860224721;214860224721
7041700;214866224732;214866224732
7041701;214870224770;214870224770
7041702;214871224772;214871224772
7041703;214872224776;214872224776
7041704;214874224780;214874224780
7041705;214875224812;214875224812
7041706;214876224813;214876224813
7041707;214877224814;214877224814
7041708;214879224817;214879224817
7041709;214884224848;214884224848
7041710;214885224849;214885224849
7041711;214885224850;214885224850
7041712;214886224851;214886224851
7041713;214887224854;214887224854
7041714;214888224855;214888224855
7041715;214894224840;214894224840
7041716;214894224841;214894224841
7041717;214894224842;214894224842
7041718;214895224843;214895224843
7041719;214897224845;214897224845
7041720;214897224846;214897224846
7041721;214898224852;214898224852
7041722;214899224853;214899224853
7041723;214900224856;214900224856
7041724;214901224857;214901224857
7041725;214902224859;214902224859
7041726;214902224860;214902224860
7041727;214903224890;214903224890
7041728;214904224891;214904224891
