ACT_NUM_ACTIVO|ACT_NUM_ACTIVO_CAIXA|ACT_NUM_ACTIVO_UVEM
5931139|89046343|13152729
5931142|89039949|9608901
5931144|89041866|10839056
5931150|89052656|15984688
5931153|89037248|6280966
5931170|89061234|20490955
5931179|89042996|11702890
5931185|89057822|19438592
5931186|89037301|6380755
5931189|89063249|21367125
5931191|89037468|6643184
5931194|89041429|10597970
5931197|89044932|12438072
5931202|89042724|11560270
5931209|89054924|17781107
5931210|89055704|18548393
5931215|89055645|18518651
5931216|89055999|18619469
5931217|89038694|22828767
5931225|89061392|20545014
5931228|89049270|15379916
5931235|89037068|5847597
5931238|89042204|11123726
5931239|89063813|21632154
5931250|89037044|5760883
5931251|89036404|2568931
5931252|89064577|21977078
5931254|89037273|6309048
5931261|89061757|20674605
5931267|89037728|22140598
5931275|89056219|18713282
5931281|89051994|15756238
5931287|89062208|20840037
5931288|89047944|14101411
5931297|89057830|19444021
5931313|89046260|13141165
5931318|89049083|15033693
5931319|89061365|20540319
5931321|89058155|19575553
5931335|89044958|12447929
5931343|89055627|18514148
5931349|89042670|11526338
5931351|89045693|12882883
5931355|89051967|15750028
5931361|89043140|11756513
5931364|89055811|18580150
5931374|89045769|12901692
5931377|89058666|19729443
5931388|89042964|11684993
5931393|89036846|5321777
5931398|89047767|13906055
5931405|89044274|12182704
5931406|89054745|17697073
5931408|89036578|4153278
5931410|89046383|13154787
5931424|89040089|9778826
5931428|89062361|20882741
5931429|89057152|19231541
5931432|89061735|20670822
5931434|89036411|2911359
5931438|89061356|20536597
5931441|89053992|16598429
5931442|89037796|22211071
5931448|89037964|6910424
5931450|89041423|10596104
5931451|89044123|12146813
5931457|89063477|21476033
5931464|89043152|11761615
5931473|89064064|21752860
5931478|89056274|18752278
5931497|89064642|22008836
5931504|89040735|10168427
5931512|89055857|18590316
5931529|89043574|11981255
5931540|89039205|8874327
5931547|89049573|15481081
5931554|89037183|6128152
5931564|89039494|9223672
5931574|89053360|16334243
5931580|89061344|20535703
5931584|89046097|13056237
5931588|89037083|5866045
5931602|89053773|16540555
5931605|89036794|5170992
5931614|89044722|12410930
5931615|89063476|21471689
5931626|89056980|19160717
5931627|89063168|21309213
5931632|89040845|10231100
5931634|89051786|15693972
5931636|89036988|5640915
5931638|89041622|10749298
5931662|89055758|18562632
5931666|89040969|10291439
5931682|89036754|5027297
5931687|89039426|23811381
5931691|89047850|14044149
5931699|89048680|14857757
5931715|89052214|15827665
5931716|89038007|6930135
5931722|89041279|10508918
5931741|89039459|9192270
5931747|89051285|15542009
5931754|89044994|12465330
5931759|89039032|8623880
5931763|89051221|15499047
5931764|89037114|5967466
5931781|89036724|4950042
5931792|89053001|16219204
5931800|89060783|20367691
5931807|89064139|21775442
5931808|89062268|20858237
5931809|89051833|15701469
5931823|89036776|5107024
5931834|89040374|9993654
5931851|89064062|21752743
5931864|89052135|15808146
5931874|89044813|12434307
5931884|89061988|20746692
5931891|89062206|20839438
5931895|89064125|21774530
5931896|89057197|19252281
5931899|89038186|7385721
5931910|89043031|11707720
5931917|89038511|22781610
5931925|89045887|12933528
5931927|89037605|6754420
5931936|89036419|3502518
5931937|89039114|23010501
