+0000000000000001+0000000444151003                  01             A164724                                                                           FIRMA 3300 ATT DIRECTOR/A2013110500000000
+0000000000000002+0000000444151001                  01             A147782                                                                                            MAGUDOVA2011101420111114
+0000000000000001+0000000448518301                  01             A114005                                                                                             CISMISA2011080100000000
+0000000000000001+0000000448518302                  01             A164904                                                                                             DZ 08812013081900000000
+0000000000000001+0000000448518303                  01             A164904                                                                                          FIRMA 10712013082800000000
+0000000000000001+0000000450898101                  01             A164798                                                                            ARAER SERVICIOS INTEGRAL2013031900000000
+0000000000000001+0000000450898102                  01             A164798                                                                           FIRMA 5781 ATT DIRECTOR/A2013103000000000
+0000000000000002+0000000450898101                  01             A141797                                                                                       FORO ALICANTE2012051420130319
+0000000000000001+0000000452133601                  01             A107695                                                                            TORRES & CASADEVALL ASSO2014090300000000
+0000000000000001+0000000453136701                  01             A164899                                                                           INVERISONES MARTINEZ ALBI2013072200000000
+0000000000000001+0000000453136702                  01             A164899                                                                               FIRMA 6317 SANZ LAMAS2014011700000000
+0000000000000002+0000000453136701                  01             A111842                                                                                            MULTIMAP2012041320120618
+0000000000000003+0000000453136701                  01             A141877                                                                                     BLOCKSALES 57532011050520130722
+0000000000000001+0000000453148401                  01             A141877                                                                                          BLOCKSALES2011051000000000
+0000000000000001+0000000453148402                  01             A164899                                                                           FIRMA 5801 ATT BEATRIZ/AM2013110400000000
+0000000000000002+0000000453148401                  01             A141877                                                                                            MULTIMAP2012043020120618
+0000000000000001+0000000453150201                  01             A141877                                                                                          BLOCKSALES2011051000000000
+0000000000000001+0000000453150202                  01             A164899                                                                                 OF 5801 X JUAN LUIS2012113000000000
+0000000000000001+0000000453150203                  01             A164899                                                                                          FIRMA 66882013100700000000
+0000000000000002+0000000453150201                  01             A141877                                                                                            MULTIMAP2012043020120618
+0000000000000001+0000000454498901                  01             A136655                                                                                      RAFAEL ATENCIA2011090100000000
+0000000000000001+0000000454498902                  01             A136655                                                                                              MAGNUM2011122200000000
+0000000000000001+0000000454498903                  01             A164731                                                                                          FIRMA 62972014013100000000
+0000000000000002+0000000454498901                  01             A111842                                                                                             TECNICO2011112520111222
+0000000000000003+0000000454498901                  01             A136655                                                                                            MULTIMAP2012031620120424
+0000000000000001+0000000455443501                  01             A126379                                                                                            FAVRO 442012120300000000
+0000000000000001+0000000455443502                  01             A141178                                                                                   FIRMA 2840 AMANDA2014011300000000
+0000000000000002+0000000455443501                  01             A105887                                                                                              SEGOSA2010011220100121
+0000000000000003+0000000455443501                  01             A150752                                                                                           INMOCHINO2010051220100526
+0000000000000004+0000000455443501                  01             A105753                                                                                    EDUARDO SERANTES2009120420100806
+0000000000000005+0000000455443501                  01             A129468                                                                                        CORNER PARLA2010062820100831
+0000000000000006+0000000455443501                  01             A142308                                                                                      DTOR. ZONA SUR2010112520110112
+0000000000000007+0000000455443501                  01             A107259                                                                                       DAGOSA EVENTO2010101520110216
+0000000000000008+0000000455443501                  01             A114256                                                                                      EVENTO CISMISA2011020320110314
+0000000000000009+0000000455443501                  01             A107259                                                                                                    2011021720110412
+0000000000000010+0000000455443501                  01             A107259                                                                                    EDUARDO SERANTES2010090920111228
+0000000000000011+0000000455443501                  01             A142308                                                                                             GESNOVA2012091020120926
+0000000000000012+0000000455443501                  01             A142308                                                                                              PODEMI2011122820121203
+0000000000000013+0000000455443501                  01             A126379                                                                                             GESNOVA2013052320130610
+0000000000000001+0000000458935801                  01             A107208                                                                           FIRMA G. LABRADOR EN MANO2014102000000000
+0000000000000001+0000000463059501                  01             A106856                                                                                                TONA2011050300000000
+0000000000000002+0000000463059501                  01             A117705                                                                                            MULTIMAP2011051120120228
+0000000000000003+0000000463059501                  01             A164740                                                                                      FIRMA 1739 OGF2014051920150313
+0000000000000001+0000000465861001                  01             A114236                                                                                      RAFAEL ATENCIA2009102900000000
+0000000000000001+0000000470923701                  01             A136655                                                                                      RAFAEL ATENCIA2011090100000000
+0000000000000001+0000000470923702                  01             A164731                                                                                          FIRMA 62972014013100000000
+0000000000000002+0000000470923701                  01             A136655                                                                                            MULTIMAP2012031620120424
+0000000000000001+0000000470935401                  01             A136655                                                                                      RAFAEL ATENCIA2011090100000000
+0000000000000001+0000000470935402                  01             A164731                                                                                          FIRMA 62972014013100000000
+0000000000000002+0000000470935401                  01             A136655                                                                                            MULTIMAP2012031620120424
+0000000000000001+0000000475254001                  01             A164785                                                                            EURO MARBELLA INVESTMENT2013032500000000
+0000000000000001+0000000475254002                  01             A164785                                                                                         TODAS SAREB2014111400000000
+0000000000000001+0000000479671701                  01             A164812                                                                                        OFICINA 01142013041700000000
+0000000000000001+0000000479671702                  01             A164812                                                                                          FIRMA 98342013062700000000
+0000000000000001+0000000490136601                  01             A136655                                                                                      RAFAEL ATENCIA2009120900000000
+0000000000000002+0000000490136601                  01             A108047                                                                                EVENTO BENIDORM 96662010070120100917
+0000000000000001+0000000496550601                  01             A141321                                                                              CERTIFICADO ENERGETICO2013100700000000
+0000000000000001+0000000496550602                  01             A141321                                                                           FIRMA 9822 ATT DIRECTOR/A2013120900000000
+0000000000000001+0000000496665201                  01             A141321                                                                                              MAGNUM2013100900000000
+0000000000000001+0000000496665202                  01             A122128                                                                            VIVENDUM PORTAL GROUP SA2014111400000000
+0000000000000001+0000000496665203                  01             A122128                                                                                      FIRMA MONTALVO2014121000000000
+0000000000000001+0000000496676901                  01             A141321                                                                                              MAGNUM2013100900000000
+0000000000000001+0000000496676902                  01             A122128                                                                              FIRMA MONTALVO EN MANO2014061600000000
+0000000000000001+0000000496719501                  01             A141321                                                                                              MAGNUM2013100900000000
+0000000000000001+0000000496719502                  01             A122128                                                                              FIRMA MONTALVO EN MANO2014061700000000
+0000000000000001+0000000497140301                  01             A126379                                                                                             REALTOR2012041800000000
+0000000000000001+0000000497140302                  01             A126379                                                                                             DZ 08262012071600000000
+0000000000000001+0000000497140303                  01             A142339                                                                                          FIRMA 17592013080600000000
+0000000000000002+0000000497140301                  01             A111842                                                                                            MULTIMAP2012050420120529
+0000000000000003+0000000497140301                  01             A126379                                                                                    MULTIMAP CALIDAD2012060520120705
+0000000000000004+0000000497140301                  01             A126379                                                                                               YIYIN2012071720120731
+0000000000000005+0000000497140301                  01             A142339                                                                                      EVENTO CISMISA2013052020130620
+0000000000000001+0000000502145601                  01             A144317                                                                            ASESORAMIENTO INMOBILIAR2013040800000000
+0000000000000001+0000000502145602                  01             A144317                                                                           FIRMA 9117 ATT JOAN CARLE2013102300000000
+0000000000000001+0000000505546701                  01             A144317                                                                                SERVE ACTIVA, S.L.U.2013013100000000
+0000000000000001+0000000505546702                  01             A133205                                                                                     FIRMA PINOS XXI2014030700000000
+0000000000000001+0000000510970301                  01             A147782                                                                                         GEMA ZAPATA2011072100000000
+0000000000000001+0000000510970302                  01             A147782                                                                                             DZ 08632012032800000000
+0000000000000001+0000000510970303                  01             A106248                                                                                      FIRMA MONTALVO2014022600000000
+0000000000000002+0000000510970301                  01             A106248                                                                                      PALOMA EN MANO2013071520130717
+0000000000000001+0000000512320401                  01             A142339                                                                                             CISMISA2011080100000000
+0000000000000001+0000000512320402                  01             A148142                                                                           FIRMA G. LABRADOR EN MANO2014032700000000
+0000000000000002+0000000512320401                  01             A164904                                                                                      EVENTO CISMISA2013052220130620
+0000000000000001+0000000512629101                  01             A158818                                                                            TORRES & CASADEVALL ASSO2013120300000000
+0000000000000001+0000000512629102                  01             A158818                                                                                     FIRMA PINOS XXI2014030700000000
+0000000000000002+0000000512629101                  01             A144317                                                                                              UNIGES2010122920110203
+0000000000000003+0000000512629101                  01             A144317                                                                                     SERVE ACTIVA SL2010122420130503
+0000000000000004+0000000512629101                  01             A158812                                                                                        BADAFINAN SL2013050320131203
+0000000000000001+0000000513220601                  01             A107259                                                                                          GARSA 11542012013100000000
+0000000000000001+0000000513220602                  01             A142308                                                                                             DZ 08252013041500000000
+0000000000000001+0000000513220603                  01             A142339                                                                                      ATT DIRECTOR/A2013060700000000
+0000000000000002+0000000513220601                  01             A107259                                                                                             OF 10002012061320120716
+0000000000000003+0000000513220601                  01             A142308                                                                                 LAURA MARTIN-VISITA2012090520120906
+0000000000000004+0000000513220601                  01             A107259                                                                                                06032012042720130415
+0000000000000001+0000000513346901                  01             A145032                                                                                          CHOPO 22282011031400000000
+0000000000000001+0000000513346902                  01             A141203                                                                                           DDZZ 08842012022000000000
+0000000000000001+0000000513346903                  01             A110709                                                                                          FIRMA 29142013041200000000
+0000000000000002+0000000513346901                  01             A145032                                                                                            MULTIMAP2011052320110606
+0000000000000003+0000000513346901                  01             A105887                                                                                            MULTIMAP2011071820110823
+0000000000000004+0000000513346901                  01             A111842                                                                                            MAGUDOVA2011082320110829
+0000000000000005+0000000513346901                  01             A141203                                                                                             LEGAZPI2012020120120302
+0000000000000006+0000000513346901                  01             A141203                                                                                               FAVRO2013031220130319
+0000000000000001+0000000514200301                  01             A107770                                                                            ASESORAMIENTO INMOBILIAR2014121700000000
+0000000000000001+0000000514200302                  01             A107770                                                                                FIRMA UNIGES EN MANO2015030300000000
+0000000000000001+0000000515391801                  01             A107259                                                                                       GESTIVIP 19572012011000000000
+0000000000000001+0000000515391802                  01             A110709                                                                                             DZ 09812013022200000000
+0000000000000001+0000000515391803                  01             A110709                                                                                          2206 FIRMA2013102900000000
+0000000000000001+0000000518305701                  01             A158377                                                                                    SERVEACTIVA 92242011090800000000
+0000000000000001+0000000518305702                  01             A158377                                                                                          FIRMA 92942013072300000000
+0000000000000002+0000000518305701                  01             A105887                                                                                   UNIGES ( 1 LLAVE)2011101320120326
+0000000000000001+0000000518940201                  01             A106026                                                                                LORENZO LOPEZ SANDEZ2011022500000000
+0000000000000001+0000000518940202                  01             A164812                                                                                       FIRMA-NOTARIA2013092400000000
+0000000000000002+0000000518940201                  01             A106026                                                                                           OFC. 98272012020120120213
+0000000000000001+0000000520120601                  01             A158818                                                                                        HABITAT LLAR2012051400000000
+0000000000000001+0000000520120602                  01             A158818                                                                                 FIRMA 6682 ATT XAVI2013112600000000
