
    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
      9148          2       1350         11                                     
     13624          2        417         11                                     
     13725          2        661         11                                     
     13825          2       1207         11                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     13836          2       1336         11                                     
     13840          2       1601         11                                     
     13842          2       2103          7                                     
     13843          2       2103          7                                     
     13852          2       6745         11                                     
     13854          2       6817         11                                     
     13855          2       6817         11                                     
     13856          2       6817         11                                     
     13857          2       6817         11                                     
     13859          2       6817         11                                     
     13870          2       7845         11                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     13875          2       7860          7                                     
     13881          2       7921         11                                     
     13887          2       7937         11                                     
     13892          2       7954         11                                     
     15511          2       9224         11                                     
     15513          2       9233         11                                     
      9625          2        854         11                                     
      9642          2       1391         11                                     
      9648          2       2260         11                                     
     13900          2       8108         11                                     
     13904          2       8420         11                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     14077          2        971         11                                     
     14086          2       1338         11                                     
     14087          2       1360          8                                     
     14100          2       2236         11                                     
     14116          2       6745          8                                     
      9654          2       2701         11                                     
      9655          2       2812         11                                     
      9657          2       3102         11                                     
      9660          2       3601         11                                     
      9665          2       4702         11                                     
      9667          2       4807         11                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
      9670          2       5129         11                                     
      9672          2       5140         11                                     
      9677          2       5159          7                                     
      9683          2       5311          7                                     
      9684          2       5311          7                                     
      9829          2        321         11                                     
      9839          2       1392         11                                     
     14139          2       6872         11                                     
     14140          2       6872         11                                     
     14159          2       7302         11                                     
     14162          2       7318         11                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     14166          2       7332          8                                     
     14189          2       7984         11                                     
     14193          2       7990         11                                     
     14197          2       7992         11                                     
     14204          2       8407         11                                     
     14208          2       8421          8                                     
     14854          2       1401         11                                     
     14862          2       5106         11                                     
     14866          2       6113         11                                     
     14871          2       7303         11                                     
     14879          2       7930         11                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     14883          2       8408         11                                     
     14885          2       8422         11                                     
     14889          2       8712         11                                     
     14895          2       9004         11                                     
     15820          2       6615         11                                     
     15822          2       6734          8                                     
     15823          2       6734         11                                     
     15824          2       6734         11                                     
     15830          2       6796         11                                     
     15850          2       7205         11                                     
     15979          2       9506         11                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     16172          2        300         11                                     
     16406          2       6896         11                                     
     16415          2       7882         11                                     
     16423          2       8505         11                                     
     15852          2       7208         11                                     
     16421          2       8415         11                                     
     14845          2         63         11                                     
     14881          2       7951         11                                     
     14886          2       8424         11                                     
     14892          2       8903         11                                     
     14893          2       8904          7                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     12750          2       5203         15                                     
     15005          2       1338         11                                     
     15025          2       6106         11                                     
     15063          2       7343         11                                     
     15065          2       7404         11                                     
     15075          2       7935         11                                     
     15087          2       7981         11                                     
     15089          2       7983         11                                     
     15092          2       7999         11                                     
     15095          2       8410         11                                     
     14092          2       2103          7                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     14093          2       2219         11                                     
     14108          2       5704          8                                     
     14109          2       6106          8                                     
     14123          2       6778         11                                     
     14149          2       7002          8                                     
     14150          2       7013          8                                     
     14085          2       1338         11                                     
     14089          2       1385         11                                     
     14104          2       2804         11                                     
     14117          2       6747         11                                     
     15003          2       1295         11                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     15009          2       1368         11                                     
     15012          2       1423         11                                     
     15021          2       5704         11                                     
     15026          2       6112         11                                     
     15034          2       6742         11                                     
     15043          2       6796         11                                     
     15044          2       6796         11                                     
     15057          2       7106         11                                     
     15083          2       7962         11                                     
     15097          2       8422         11                                     
     15099          2       8431         11                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     15103          2       8903         11                                     
     14153          2       7104         11                                     
     14157          2       7212         11                                     
     14164          2       7324          8                                     
     14170          2       7864          7                                     
     14185          2       7930          8                                     
     14207          2       8419          8                                     
     14210          2       8502         11                                     
     14212          2       8511          8                                     
     14214          2       8519         11                                     
     16220          2       6734         11                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     16254          2       7009         11                                     
     16260          2       7320         11                                     
     14120          2       6757          8                                     
     14121          2       6760         11                                     
     15107          2       9204         11                                     
     15110          2       9207         11                                     
     15441          2       5176         11                                     
     15450          2       6824         11                                     
     15458          2       6892         11                                     
     14585          2       1401          7                                     
     14600          2       3104         11                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     14611          2       6306         11                                     
     14652          2       7843         11                                     
     14660          2       7864         11                                     
     16288          2       7999         11                                     
     16294          2       8419         11                                     
     16310          2       9220         11                                     
     16322          2       9303         11                                     
     16330          2       9606         11                                     
     15461          2       7002         11                                     
     15463          2       7006         11                                     
     15465          2       7013         11                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     15469          2       7304         11                                     
     15472          2       7323         11                                     
     15477          2       7334         11                                     
     15494          2       7996         11                                     
     15498          2       8312         11                                     
     15500          2       8402         11                                     
     15505          2       8511         11                                     
     15509          2       9002         11                                     
     14665          2       7912         11                                     
     14670          2       7922         11                                     
     14688          2       8712         11                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     14689          2       8714         11                                     
     15858          2       7309         11                                     
     14136          2       6857         11                                     
     14168          2       7850         11                                     
     14172          2       7879         11                                     
     14181          2       7918         11                                     
     12506          2       6772         18                                     
     15863          2       7320          7                                     
     15874          2       7703          8                                     
     15878          2       7835         11                                     
     15930          2       7979         11                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     14195          2       7991         11                                     
     14201          2       8304         11                                     
     14209          2       8421          8                                     
     15521          2       9239         11                                     
     15865          2       7332         11                                     
     15872          2       7702         11                                     
     15875          2       7703         11                                     
     16197          2       3104         11                                     
     16211          2       5302         11                                     
     14219          2       8605          7                                     
     16223          2       6745         11                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     16241          2       6825         11                                     
     16247          2       6845         11                                     
     16250          2       6872         11                                     
     15782          2       2402         11                                     
     15893          2       7864         11                                     
     15903          2       7877         11                                     
     16266          2       7331         11                                     
     16268          2       7843         11                                     
     16277          2       7904         11                                     
     16283          2       7961         11                                     
     16292          2       8412         11                                     

