Cartera|Subcartera|Zona (provincia)|Tipo de trabajo|Subtipo de trabajo|Codigo proveedor|Proveedor por defecto (0/1)
03||Castellón|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Valencia|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Badajoz|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Cáceres|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||A Coruña|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Lugo|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Ourense|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Pontevedra|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Madrid|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Murcia|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Navarra|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Álava|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Vizcaya|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Guipúzcoa|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||La Rioja|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Ceuta|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Melilla|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
08||Cádiz|Actuación técnica||B60546611|10007315
08||Córdoba|Actuación técnica||B60546611|10007315
08||Granada|Actuación técnica||B60546611|10007315
08||Huelva|Actuación técnica||B60546611|10007315
08||Jaén|Actuación técnica||B60546611|10007315
08||Málaga|Actuación técnica||B60546611|10007315
08||Sevilla|Actuación técnica||B60546611|10007315
08||Almería|Actuación técnica||B60546611|10007315
08||Huesca|Actuación técnica||A28346054|10004312
08||Teruel|Actuación técnica||A28346054|10004312
08||Zaragoza|Actuación técnica||A28346054|10004312
08||Asturias|Actuación técnica||A28346054|10004312
08||Las Palmas|Actuación técnica||A28346054|10004312
08||Santa C. Tenerife|Actuación técnica||A28346054|10004312
08||Cantabria|Actuación técnica||A28346054|10004312
08||Avila|Actuación técnica||A28346054|10004312
08||Burgos|Actuación técnica||A28346054|10004312
08||León|Actuación técnica||A28346054|10004312
08||Palencia|Actuación técnica||A28346054|10004312
08||Salamanca|Actuación técnica||A28346054|10004312
08||Segovia|Actuación técnica||A28346054|10004312
08||Soria|Actuación técnica||A28346054|10004312
08||Valladolid|Actuación técnica||A28346054|10004312
08||Albacete|Actuación técnica||B98493190|24
08||CiudadReal|Actuación técnica||B98493190|24
08||Cuenca|Actuación técnica||B98493190|24
08||Guadalajara|Actuación técnica||B98493190|24
08||Toledo|Actuación técnica||B98493190|24
08||Alicante|Actuación técnica||B98493190|24
08||Castellón|Actuación técnica||B98493190|24
08||Valencia|Actuación técnica||B98493190|24
08||Badajoz|Actuación técnica||A28346054|10004312
08||Cáceres|Actuación técnica||A28346054|10004312
08||A Coruña|Actuación técnica||A28346054|10004312
